tax_id,Species,BM,Diet_cat
22687170,Abeillia abeillei,0.0027,FruiNect
22715451,Abroscopus albogularis,0.00484,Invertebrate
22715454,Abroscopus schisticeps,0.0047,Invertebrate
22731005,Abroscopus superciliaris,0.00648,Invertebrate
22678440,Aburria aburri,1.40508,FruiNect
22704451,Acanthagenys rufogularis,0.0478,Omnivore
22723128,Acanthidops bairdi,0.016,Omnivore
22698577,Acanthisitta chloris,0.00691,Invertebrate
22731025,Acanthiza apicalis,0.00762,Invertebrate
22704647,Acanthiza chrysorrhoa,0.00929,Invertebrate
22704635,Acanthiza ewingii,0.0069,Invertebrate
22704641,Acanthiza inornata,0.007,Invertebrate
22704644,Acanthiza iredalei,0.00604,Invertebrate
22704627,Acanthiza katherina,0.0072,Invertebrate
22704656,Acanthiza lineata,0.00685,Invertebrate
22704624,Acanthiza murina,0.0084,Invertebrate
22704653,Acanthiza nana,0.00619,Invertebrate
22704630,Acanthiza pusilla,0.00762,Invertebrate
22704638,Acanthiza reguloides,0.0077,Invertebrate
22704659,Acanthiza robustirostris,0.0061,Invertebrate
22704650,Acanthiza uropygialis,0.0064,Invertebrate
22704424,Acanthorhynchus superciliosus,0.00972,FruiNect
22704421,Acanthorhynchus tenuirostris,0.01044,Omnivore
22704585,Acanthornis magna,0.01018,Invertebrate
22695535,Accipiter albogularis,0.24875,VertFishScav
22695490,Accipiter badius,0.13115,VertFishScav
22695669,Accipiter bicolor,0.28754,VertFishScav
22695669,Accipiter bicolor,0.28754,VertFishScav
22695605,Accipiter brachyurus,0.142,VertFishScav
22695499,Accipiter brevipes,0.18648,VertFishScav
22695494,Accipiter butleri,0.33294,VertFishScav
22695486,Accipiter castanilius,0.15751,VertFishScav
22695599,Accipiter cirrocephalus,0.16573,VertFishScav
22695568,Accipiter collaris,0.33294,VertFishScav
22695656,Accipiter cooperii,0.42967,VertFishScav
22695596,Accipiter erythrauchen,0.156,VertFishScav
22695576,Accipiter erythropus,0.1112,VertFishScav
22695527,Accipiter fasciatus,0.35866,VertFishScav
22695508,Accipiter francesiae,0.13682,Invertebrate
22695683,Accipiter gentilis,0.86604,VertFishScav
22695465,Accipiter griseiceps,0.25176,VertFishScav
22695585,Accipiter gularis,0.12066,VertFishScav
22695659,Accipiter gundlachi,0.675,VertFishScav
22695541,Accipiter haplochrous,0.19841,VertFishScav
22695544,Accipiter henicogrammus,0.33294,VertFishScav
22695678,Accipiter henstii,1.05,VertFishScav
22727721,Accipiter hiogaster,0.22079,VertFishScav
22695553,Accipiter imitator,0.22249,VertFishScav
22695547,Accipiter luteoschistaceus,0.214,VertFishScav
22695613,Accipiter madagascariensis,0.18041,VertFishScav
22695532,Accipiter melanochlamys,0.265,VertFishScav
22695673,Accipiter melanoleucus,0.69899,VertFishScav
22695689,Accipiter meyerianus,0.76354,VertFishScav
22695581,Accipiter minullus,0.08743,VertFishScav
22695591,Accipiter nanus,0.33294,Invertebrate
22695624,Accipiter nisus,0.22079,VertFishScav
22727714,Accipiter novaehollandiae,0.32606,VertFishScav
22695619,Accipiter ovampensis,0.195,VertFishScav
22695558,Accipiter poliocephalus,0.21476,VertFishScav
22695453,Accipiter poliogaster,1.36941,VertFishScav
22695561,Accipiter princeps,0.33294,Omnivore
22695610,Accipiter rhodogaster,0.17271,VertFishScav
22695538,Accipiter rufitorques,0.209,VertFishScav
