"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Lampert et al. 2007","ES1","CC1","Mainland Panama (Gigante, Bohio,  Gamboa)","Barro Colorado","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Physalaemus pustulosus","Physalaemus pustulosus","Male","SVL",1.75574255625656,1.66077942476588,0.075871423483663,0.08264261128237,86,61,-0.0556048512467421,6.23071214501567e-05,-79.8475,9.1555,0.244460835833275,1.17609125905568,-0.300162274132754,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Lampert et al. 2007","ES2","CC2","Mainland Panama","Coiba","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Physalaemus pustulosus","Physalaemus pustulosus","Male","SVL",1.81028855574067,4.54908718721116,0.0780776341534332,0.148960354817705,103,6,0.921440339008616,0.00019676713749892,-81.777,7.486,0.257747805906562,2.70156798505593,1.35220181965942,0.75677451171875,-1.38593273169804,25.4241352081299,1.80482134867223,3.42480816751817,"","Island rule","SP1"
"Lampert et al. 2007","ES3","CC3","Mainland Panama (La Guaira)","Grande (Panama)","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Physalaemus pustulosus","Physalaemus pustulosus","Male","SVL",2.10524226558067,2.77041474758374,0.0902005339008778,0.0920574463151266,17,31,0.274566486311584,0.00014360318047745,-79.5648,9.6327,0.323302080480809,0.845098040014257,-0.300162274132754,0.62112607421875,-1.651040349464,26.5128993988037,1.89940918689388,3.35858197814465,"","Island rule","SP1"
"Mageski et al. 2015","ES4","CC4","Paulo César
Vinha SP (Guarapari, Brazil)","Tres Ilhas (Brazil)","Amphibians","Anura","Hylidae","Phyllodytes luteolus","Phyllodytes luteolus","Phyllodytes luteolus","Male","SVL",0.62611554794805,0.915875735440799,0.0462272226989682,0.0434755950765259,29,29,0.380345760018641,0.000265669849658376,-40.382,-20.613,-0.20334551150924,-1,0.477265995424853,0.238153271484375,-1.44602021052857,23.4541664123535,2.29824601635422,3.07077646284343,"","Island rule","SP2"
"Montesinos et al. 2012","ES5","CC5","Brazil (Rio de Janeiro)","Grande","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","Male","SVL",34.1380122462356,22.0556791089599,2.01589226897011,1.40280101161775,87,29,-0.436841367376554,0.000179574310884722,-44.247,-23.141,1.5332382298536,2.27875360095283,0.491501766237326,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,"","Island rule","SP3"
"Montesinos et al. 2012","ES6","CC6","Seropédica (Rio Janeiro)","Itacurucá","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","Male","SVL",34.1380122462356,37.7365515808848,2.01589226897011,2.00756369757901,87,31,0.100217670640649,0.000131377203345391,-43.891,-22.891,1.5332382298536,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP3"
"Montesinos et al. 2012","ES7","CC6","Seropédica (Rio Janeiro)","Marambaia","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","Male","SVL",34.1380122462356,25.3623699060456,2.01589226897011,1.37452160526903,87,30,-0.297144916312822,0.000137985437492255,-43.789,-23.061,1.5332382298536,1.6232492903979,0.982316469692065,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,"","Island rule","SP3"
"Reboucas et al. 2018","ES8","CC7","Rio de Janeiro","Itacurucá","Amphibians","Anura","Hylidae","Boana albomarginata","Boana albomarginata","Boana albomarginata","Male","SVL",6.24494947854598,7.66402611091277,0.398311128472181,0.311146359203724,108,34,0.204764393978764,8.61442879182373e-05,-43.891,-22.891,0.79552892929503,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP4"
"Reboucas et al. 2018","ES9","CC7","Rio de Janeiro","Marambaia","Amphibians","Anura","Hylidae","Boana albomarginata","Boana albomarginata","Boana albomarginata","Male","SVL",6.24494947854598,6.95401759177381,0.398311128472181,0.122537754921124,108,33,0.107546509676733,4.70764290972453e-05,-43.789,-23.061,0.79552892929503,1.6232492903979,0.982316469692065,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,"","Island rule","SP4"
"Reboucas et al. 2018","ES10","CC8","Rio de Janeiro","Grande","Amphibians","Anura","Leptodactylidae","Adenomera marmorata","Adenomera marmorata","Adenomera marmorata","Male","SVL",0.723074528245562,0.711886248771457,0.0458535066692308,0.0348963847436989,99,26,-0.0155941631031776,0.000133040436976758,-44.247,-23.141,-0.1408169370932,2.27875360095283,0.491501766237326,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,"","Island rule","SP5"
"Reboucas et al. 2018","ES11","CC8","Rio de Janeiro","Itacurucá","Amphibians","Anura","Leptodactylidae","Adenomera marmorata","Adenomera marmorata","Adenomera marmorata","Male","SVL",0.723074528245562,0.626620518406762,0.0458535066692308,0.0415615649963669,99,19,-0.143171175186263,0.000272157659913355,-43.891,-22.891,-0.1408169370932,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP5"
"Reboucas et al. 2018","ES12","CC8","Rio de Janeiro","Itacurucá","Amphibians","Anura","Leptodactylidae","Adenomera marmorata","Adenomera marmorata","Adenomera marmorata","Male","SVL",0.723074528245562,0.626620518406762,0.0458535066692308,0.0575467823026619,99,14,-0.143171175186263,0.000643047921802982,-43.891,-22.891,-0.1408169370932,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP5"
"Reboucas et al. 2018","ES13","CC8","Rio de Janeiro","Marambaia","Amphibians","Anura","Leptodactylidae","Adenomera marmorata","Adenomera marmorata","Adenomera marmorata","Male","SVL",0.723074528245562,0.577052607978846,0.0458535066692308,0.0543819211707813,99,25,-0.225578861431679,0.000395873781445999,-43.789,-23.061,-0.1408169370932,1.6232492903979,0.982316469692065,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,"","Island rule","SP5"
"Reboucas et al. 2018","ES14","CC9","Rio de Janeiro","Grande","Amphibians","Anura","Hylidae","Scinax trapicheiroi","Ololygon trapicheiroi","Ololygon trapicheiroi","Male","SVL",1.1966921261331,1.0431711855002,0.0502427991887942,0.0374045445000073,110,35,-0.13729589837843,5.27588179813232e-05,-44.247,-23.141,0.0779824335145057,2.27875360095283,0.491501766237326,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,"","Island rule","SP6"
"Reboucas et al. 2018","ES15","CC9","Rio de Janeiro","Itacurucá","Amphibians","Anura","Hylidae","Scinax trapicheiroi","Ololygon trapicheiroi","Ololygon trapicheiroi","Male","SVL",1.1966921261331,1.24110933585638,0.0502427991887942,0.0327840201924328,110,15,0.0364444164426267,6.25418544496403e-05,-43.891,-22.891,0.0779824335145057,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP6"
"Reboucas et al. 2018","ES16","CC9","Rio de Janeiro","Marambaia","Amphibians","Anura","Hylidae","Scinax trapicheiroi","Ololygon trapicheiroi","Ololygon trapicheiroi","Male","SVL",1.1966921261331,1.1533803412577,0.0502427991887942,0.0311724416556135,110,43,-0.0368641310390497,3.30121534620971e-05,-43.789,-23.061,0.0779824335145057,1.6232492903979,0.982316469692065,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,"","Island rule","SP6"
"Reboucas et al. 2018","ES17","CC10","Rio de Janeiro","Grande","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","Male","SVL",19.0693520168636,15.4991012130721,2.86707040812985,2.28438245491175,34,26,-0.207300403855387,0.00150036268802514,-44.247,-23.141,1.28033593582095,2.27875360095283,0.491501766237326,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,"","Island rule","SP7"
"Reboucas et al. 2018","ES18","CC10","Rio de Janeiro","Itacurucá","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","Male","SVL",19.0693520168636,15.6842832597005,2.86707040812985,1.98240011460898,34,19,-0.195423295154245,0.00150566694610165,-43.891,-22.891,1.28033593582095,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP7"
"Reboucas et al. 2018","ES19","CC10","Rio de Janeiro","Marambaia","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","Male","SVL",19.0693520168636,18.0264044270851,2.86707040812985,2.30943259564079,34,32,-0.056244844199193,0.00117776488906424,-43.789,-23.061,1.28033593582095,1.6232492903979,0.982316469692065,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,"","Island rule","SP7"
"Reboucas et al. 2019","ES20","CC11","Brazi","Grande","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","Male","SVL",33.6456531812146,21.6534498564874,3.99651635470882,1.89064379056087,39,20,-0.44071908189402,0.000742961250883357,-44.247,-23.141,1.52692896391354,2.27875360095283,0.491501766237326,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,"","Island rule","SP3"
"Reboucas et al. 2019","ES21","CC11","Brazi","Itacurucá","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","Male","SVL",33.6456531812146,35.7425623725132,3.99651635470882,3.16255329907902,39,27,0.0604583316032855,0.000651738409719442,-43.891,-22.891,1.52692896391354,1,-0.655607726314889,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,"","Island rule","SP3"
"Reboucas et al. 2019","ES22","CC11","Brazi","Marambaia","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","Male","SVL",33.6456531812146,25.8775574473918,3.99651635470882,3.49152745765599,39,21,-0.262507785120283,0.00122866889237597,-43.789,-23.061,1.52692896391354,1.6232492903979,0.982316469692065,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,"","Island rule","SP3"
"Altuni?ik et al. 2014","ES23","CC12","Çanakkale (Turkey)","Bozcaada (Tenedos) Island","Amphibians","Caudata","Salamandridae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton vulgaris","Both","SVL",0.86742737691674,0.781105153051747,0.0624896895706707,0.0409674384387361,20,17,-0.104822013179552,0.000421301533163022,26.039,39.8261,-0.0617668751821325,1.57518784492766,0.856245400790054,0.4155423828125,-1.85148832272161,15.7518892288208,2.81061313615667,2.74968221292061,"","Island rule","SP8"
"Altuni?ik et al. 2014","ES24","CC12","Çanakkale (Turkey)","Bozcaada (Tenedos) Island","Amphibians","Caudata","Salamandridae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton vulgaris","Both","Weight",1.822,1.49529411764706,0.31541284558162,0.319562545659274,20,17,-0.197611877132674,0.00418505525415018,26.039,39.8261,0.260548372636979,1.57518784492766,0.856245400790054,0.4155423828125,-1.85148832272161,15.7518892288208,2.81061313615667,2.74968221292061,"","Island rule","SP8"
"Castellano et al 1999","ES25","CC13","Italy","Sardinia","Amphibians","Anura","Bufonidae","Bufotes viridis","Bufo viridis","Bufo viridis","Male","SVL",26.7880077808123,63.5363010736464,2.14564139991943,4.23473421496633,369,109,0.863657096501831,5.81413964311758e-05,9.034,40.029,1.42794041640881,4.37717871299024,2.33041580275792,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,"","Island rule","SP9"
"Li et al. 2011","ES26","CC14","China (Zhejiang, Zhenhai and Beilun)","Cezi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.92828220812656,0.408510442178898,0.560939222432246,299,96,0.187542585438144,0.000168386954507684,121.934,30.095,0.611246858887101,1.17318626841227,1.21751026429403,0.46007119140625,-1.7936277826656,16.3729953765869,2.90136442176682,3.08913118693145,"","Island rule","SP10"
"Li et al. 2011","ES27","CC14","China (Zhejiang, Zhenhai and Beilun)","Changbai","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.03135637633326,0.408510442178898,0.384089717979093,299,94,0.20824169967049,9.54346118795689e-05,122.035,30.181,0.611246858887101,1.01029995663981,1.57519939515923,0.3764142578125,-1.95207443986358,16.3839740753174,2.90145522832044,3.08421510584641,"","Island rule","SP10"
"Li et al. 2011","ES28","CC14","China (Zhejiang, Zhenhai and Beilun)","Dachangtu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.27949800095478,0.408510442178898,0.335357850497302,299,100,0.0463878078053362,9.48469839197325e-05,122.339,30.252,0.611246858887101,1.52244423350632,1.57519939515923,0.33103955078125,-1.76820927592597,16.4136009216309,2.89318285521788,3.05823616894277,"","Island rule","SP10"
"Li et al. 2011","ES29","CC14","China (Zhejiang, Zhenhai and Beilun)","Daishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.05628826515687,0.408510442178898,0.347438976502359,299,98,-0.00717957035829476,0.00010830214665106,122.187,30.28,0.611246858887101,2,1.56821346159708,0.354496875,-1.98108979192221,16.5334606170654,2.90113292885649,3.05979053033477,"","Island rule","SP10"
"Li et al. 2011","ES30","CC14","China (Zhejiang, Zhenhai and Beilun)","Damao","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.39854679697813,0.408510442178898,0.433624221394944,299,106,0.278681900269595,9.43030633127573e-05,122.04,29.95,0.611246858887101,0.755874855672491,0.944532020991981,0.40530107421875,-1.87741305401926,16.3550586700439,2.88981287142187,3.10539777956291,"","Island rule","SP10"
"Li et al. 2011","ES31","CC14","China (Zhejiang, Zhenhai and Beilun)","Daxie","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.49607613146724,0.408510442178898,0.351542759881158,299,94,0.0957571401906769,9.84751838473507e-05,121.967,29.918,0.611246858887101,1.45024910831936,-0.396855627379818,0.399638330078125,-1.85949311737401,16.5767021179199,2.90094963019386,3.10341370172903,"","Island rule","SP10"
"Li et al. 2011","ES32","CC14","China (Zhejiang, Zhenhai and Beilun)","Dayushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.63911033941722,0.408510442178898,0.451678868451604,299,96,0.322278406416556,0.000100267419789006,121.967,30.314,0.611246858887101,0.792391689498254,1.63145391596197,0.199661145019531,-1.55459526431493,16.2268409729004,2.89344271177867,3.04161764918109,"","Island rule","SP10"
"Li et al. 2011","ES33","CC14","China (Zhejiang, Zhenhai and Beilun)","Dengbu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.83205813586164,0.408510442178898,0.335520956064204,299,94,0.167824586575584,8.47297928419736e-05,122.318,29.868,0.611246858887101,1.12417805547468,1.14924991259028,0.3915125,-1.70720525993007,16.4728832244873,2.88466484719912,3.09642680373778,"","Island rule","SP10"
"Li et al. 2011","ES34","CC14","China (Zhejiang, Zhenhai and Beilun)","Fodu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.34543312569087,0.408510442178898,0.48760760674802,299,99,0.268794669586663,0.000117488518279579,122.018,29.736,0.611246858887101,0.845098040014257,0.845160077651946,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,"","Island rule","SP10"
"Li et al. 2011","ES35","CC14","China (Zhejiang, Zhenhai and Beilun)","Huni","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.76683007547753,0.408510442178898,0.479949545112342,299,93,0.344674643809282,0.00010791709927998,122.185,29.793,0.611246858887101,0.136720567156407,1.0366688103001,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
