"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Nelson 1898, Storer 1962","ES1","CC1","Mexico","Maria Madre","Birds","Accipitriformes","Accipitridae","Buteo jamaicensis","Buteo jamaicensis hadropus","Buteo borealis fumosus","VertFishScav","Both","Wing Length",1224.54399056884,1199.90835992389,46.7380853560078,54.3796988954839,33,4,-0.020323334948851,0.000557617560638093,-106.558,21.61,3.08797439135386,2.30102999566398,2.0000043429231,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Buteo jamaicensis fumosus = Buteo borealis fumosus (https://avibase.bsc-eoc.org/species.jsp?avibaseid=DBCF62ABC4297742)","No island rule","SP1"
"Nelson 1898, Storer 1962","ES2","CC1","Mexico","Socorro","Birds","Accipitriformes","Accipitridae","Buteo jamaicensis","Buteo jamaicensis hadropus","Buteo borealis socorroensis","VertFishScav","Both","Wing Length",1224.54399056884,1338.21108511215,46.7380853560078,60.6475613451124,33,3,0.0887651888346171,0.000728775162473167,-110.974,18.793,3.08797439135386,2.12057393120585,2.75966859998372,0.4904935546875,-1.78217195958961,24.3357238769531,2.28686603532726,2.53459718602685,"Buteo jamaicensis socorroensis = Buteo borealis socorroensis (https://avibase.bsc-eoc.org/species.jsp?lang=ES&avibaseid=38366AF9F21AE852)","No island rule","SP1"
"Clegg 2002","ES3","CC2","Brisbane, Australia","Norfolk island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tenuirostris","Omnivore","Unsexed","Weight",10.22,17.2,0.9,0.63,29,34,0.520562799043849,0.000306873599134356,167.953,-29.035,1.00945089579869,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"Clegg, S. M. et al. Microevolution in island forms: the roles of drift and directional selection in morphological divergence of a passerine bird. Evolution 56, 2090-2099 (2002).","Island rule","SP2"
"Clegg 2002","ES4","CC2","Brisbane, Australia","Lord Howe Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tephropleurus","Omnivore","Unsexed","Weight",10.22,12.41,0.9,0.93,29,34,0.194156014440957,0.000432589328927435,159.082,-31.558,1.00945089579869,1.16286299332193,2.75587561759197,0.555617529296875,-1.55504456814652,19.1541423797607,2.38969166427432,3.20210943433981,"Clegg, S. M. et al. Microevolution in island forms: the roles of drift and directional selection in morphological divergence of a passerine bird. Evolution 56, 2090-2099 (2002).","Island rule","SP2"
"O'Connell et al 2019, Clegg, 2002","ES5","CC3","Brisbane, Australia","Wangi-wangi","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops Wangi-wangi white-eye","Omnivore","Both","Weight",10.22,14.51,0.9,0.801,29,38,0.350491482120538,0.000347609544860347,123.59,-5.3028,1.00945089579869,2.20574554094266,1.51389648692292,0.6510146484375,-1.64931202479033,27.5905895233154,1.7441302376341,3.26044823882868,"Closest sister species are insular (Zosterops griseotinctus, Zosterops murphyi, Zosterops rennellianus), and next is Zosterops lateralis","No island rule","SP2"
"Higgins and Peter 2002","ES6","CC4","NSW, Vic & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa leighi","Acanthiza chrysorrhoa leachi","Invertebrate","Both","Weight",9.55609756097561,10.3538461538462,0.960657009678225,0.619765257463646,41,13,0.0801786209429626,0.000522103756575108,146.5,-42.1,0.980280574938982,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP3"
"Higgins and Peter 2002","ES7","CC5","SA, Australia","Kangaroo","Birds","Passeriformes","Acanthizidae","Acanthiza lineata","Acanthiza lineata clelandi","Acanthiza lineata whitei","Invertebrate","Male","Weight",7.6,7.7,0.37,0.26,15,5,0.0130720815673529,0.000386041865522565,137.207,-35.819,0.880813592280791,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"Conspecific","No island rule","SP4"
"Keast 1968","ES8","CC6","Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla","Acanthiza pusilla","Invertebrate","Male","Wing Length",7.26946899323279,8.81722942136734,0.274931317324064,0.318236669300832,11,10,0.193024448052701,0.000260299560369123,146.5,-42.1,0.861502688475082,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP5"
"Higgins and Peter 2002","ES9","CC7","NSW, ACT, Vic, & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza pusilla diemenensis","Invertebrate","Both","Weight",7.08421052631579,8.21081081081081,1.35796650412143,0.964907532640588,57,37,0.147583239473261,0.00101789266597793,146.5,-42.1,0.850291458935129,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP5"
"Higgins and Peter 2002","ES10","CC7","NSW, ACT, Vic, & SA, Australia","Kangaroo","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza pusilla zietzi","Invertebrate","Male","Weight",7.4,7.6,1.52,0.55,37,5,0.0266682470821613,0.00218774525609665,137.207,-35.819,0.869231719730976,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"Conspecific","No island rule","SP5"
