"","Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type","imputed","SPID"
"1","Renaud 2020","ES1","CC1","Turkey","Cyprus","Mammals","Rodentia","Muridae","Acomys cahirinus","Acomys cahirinus","Acomys cahirinus","Herb","Both","Length",25.1008981348687,48.9872038959015,3.03106661524633,3.36432510940496,16,6,0.668655491261482,0.00169746806514682,33.254,35.025,1.39968926124355,3.96614173273903,1.84510424417683,0.324397705078125,-1.53930109875927,19.0325736999512,2.81274718568516,2.60594554871405,"No","Conspecific","Island rule","No","SP1"
"2","Kitchener et al 1993","ES2","CC2","Java","Bali","Mammals","Chiroptera","Pteropodidae","Aethalops alecto","Aethalops alecto ocypete","Aethalops alecto boeadii","Herb","Unsexed","Length",13.4919787634439,14.0611850649608,0.471493881518202,0.694350839706569,5,7,0.0413228259137662,0.000592598071851761,115.155,-8.274,1.13007564893235,3.74973631556906,0.398113691730502,0.70758955078125,-1.7127583914303,23.3216743469238,1.79013910267233,3.32191741131671,"No","Conspecific","No island rule","No","SP2"
"3","Kitchener et al 1993","ES3","CC2","Java","Lombok","Mammals","Chiroptera","Pteropodidae","Aethalops alecto","Aethalops alecto ocypete","Aethalops alecto boeadii","Herb","Unsexed","Length",13.4919787634439,12.0953981003026,0.471493881518202,0.744266760742955,5,20,-0.109270285214397,0.000433563714593531,116.417,-8.375,1.13007564893235,3.67440181284528,2.12385490632685,0.654223681640625,-1.585497869716,23.413516998291,1.75827056984367,3.24551152318219,"No","Conspecific","No island rule","No","SP2"
"4","Goltsman et al 2005","ES4","CC3","Chukotka ","Bering","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Both","Weight",3208.69565217391,5110.10309278351,615.561859736335,1218.52943294535,23,194,0.465355063047846,0.0018932387217459,166.281,55.002,3.50632852580545,3.22010808804005,2.25768097427958,0.32575859375,-1.65746380474619,1.24108469486237,2.80879505825039,2.89600578546423,"No","Conspecific","Island rule","No","SP3"
"5","Meiri et al 2006","ES5","CC4","Quebec 55-60N, W. of 76W","Flaherty","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",6145.69004496944,5949.722794655,215.720426401968,175.503062229741,16,5,-0.0324064011046821,0.000251028123099325,-79.371,56.149,3.78857065303167,3.20002926655377,2.0000043429231,0.166087390136719,-1.96140177436911,-3.95003509521484,3.05619718306078,2.71486029660256,"No","Conspecific","Island rule","No","SP3"
"6","Goltsman et al 2005","ES6","CC3","Chukotka ","Mednyi","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Both","Weight",3208.69565217391,6753.84615384615,615.561859736335,1245.09905626782,23,39,0.744247627502257,0.00247158876596238,167.727,54.702,3.50632852580545,2.42473695655295,2.46982348816035,0.28991572265625,-1.77253122057666,1.41353857517242,2.74854823393201,3.05499586152914,"No","Conspecific","Island rule","No","SP3"
"7","Meiri et al 2006","ES7","CC5","Nunavut N. of 62N, E. of 98W","Southampton","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",5363.0937486332,5480.91889252285,266.621245826266,256.444864359281,2,24,0.0217317675396163,0.00132696042476983,-84.31,64.497,3.72941538863904,4.61504476676008,1.3617467179759,0.0796668334960938,-2.05221605120824,-11.9087352752686,3.16595279374313,2.40427647260145,"No","Conspecific","Island rule","Yes","SP3"
"8","Meiri et al 2006","ES8","CC4","Quebec 55-60N, W. of 76W","Tukarak","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",6145.69004496944,5852.59921880443,305.527296939277,273.835289710826,16,4,-0.0488651569696583,0.000701762814540578,-78.75,56.25,3.78857065303167,2.54282542695918,2.06070161681095,0.207045141601563,-2.12028173428173,-4.12719535827637,3.09757752440894,2.72733788803308,"No","Conspecific","Island rule","Yes","SP3"
"9","Meiri et al 2006","ES9","CC6","Greenland","Ymer","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",4970.40544932393,5263.41938511132,247.099110191416,246.268353308834,24,3,0.0572794726366784,0.000832705033088453,-24.494,73.14,3.69639181674582,3.38685552918472,1.80618675978215,0.0650081176757813,-1.86247943888737,-10.0027894973755,2.90814467669269,2.63554727975618,"No","Conspecific","Island rule","Yes","SP3"
"10","Motokawa and Lin 2002","ES10","CC7","Vietnam","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","Inver","Unsexed","Length",27.7345395615598,16.9882955337239,1.09055022341329,2.20351184249502,12,29,-0.490153943103096,0.000708985652963961,120.66,23.776,1.44302096028034,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"No","Conspecific","No island rule","No","SP4"
"11","Motokawa and Lin 2002","ES11","CC8","Sichuan","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","Inver","Unsexed","Length",28.4945887581515,16.9882955337239,2.41674866875032,2.20351184249502,12,29,-0.517189592195963,0.00117959596476531,120.66,23.776,1.45476239349605,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"No","Conspecific","No island rule","No","SP4"
"12","Motokawa and Lin 2002","ES12","CC9","Yunnan","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","Inver","Unsexed","Length",28.8665868057356,16.9882955337239,1.07332330178106,2.20351184249502,13,29,-0.530160151435127,0.000686487877039757,120.66,23.776,1.46039543580081,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"No","Conspecific","No island rule","No","SP4"
