"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Adler 1996, Adler 1998","ES1","CC1","Panama","4","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,365,104.326,79,42,10,-0.179257506652479,0.00604364865617553,-79.8576,9.1718,2.64014341043538,-1.72124639904717,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES2","CC1","Panama","5","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,361,104.326,121,42,21,-0.19027690190209,0.00670888624183581,-79.8334,9.1816,2.64014341043538,-1.76955107862173,-1.20760831050175,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES3","CC1","Panama","8","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,297,104.326,101,42,57,-0.385422721432271,0.00338796606444526,-79.8299,9.1846,2.64014341043538,-1.56863623584101,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES4","CC1","Panama","9","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,321,104.326,80,42,24,-0.307713737104955,0.00394705905655247,-79.842,9.1865,2.64014341043538,-1.67778070526608,-1.20760831050175,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES5","CC1","Panama","12","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,396,104.326,123,42,27,-0.09774064898049,0.00493228226482502,-79.8626,9.1953,2.64014341043538,-1.74472749489669,-0.815308569182401,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES6","CC1","Panama","14","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,351,104.326,109,42,14,-0.218368636769105,0.00824737142231252,-79.8506,9.2051,2.64014341043538,-1.61978875828839,-1.50863830616573,0.657084716796875,-1.75134478300131,26.5273342132568,1.78071349800838,3.3956932645562,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES7","CC1","Panama","51","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,343,104.326,110,42,53,-0.241424413069031,0.00329962647318601,-79.8416,9.1282,2.64014341043538,-1.45593195564972,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Adler 1996, Adler 1998","ES8","CC1","Panama","52","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,378,104.326,116,42,28,-0.144260664615383,0.00472246014113634,-79.8341,9.1242,2.64014341043538,-1.60205999132796,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"","Island rule","SP1"
"Anderson and Handley 2002","ES9","CC2","Panama","Cayo Agua","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus variegatus","Herb","Unsexed","Weight",4845,3800,628.645,300.416,7,10,-0.242946178610389,0.00303005517893509,-82.036,9.15,3.68529378138678,1.16136800223497,0.819609732751585,0.672026611328125,-1.60972230623035,25.9435844421387,1.68808872207448,3.4635436088818,"","Island rule","SP2"
"Anderson and Handley 2002","ES10","CC2","Panama","Cayo Nancy","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus variegatus","Herb","Unsexed","Weight",4845,3600,628.645,413.673,7,5,-0.297013399880665,0.00504588006737499,-82.193,9.315,3.68529378138678,0.832508912706236,0.977769318091574,0.667509423828125,-1.46146729451465,25.9487895965576,1.7187699030518,3.43894402998259,"","Island rule","SP2"
"Anderson and Handley 2002","ES11","CC2","Panama","Isla Bastimentos","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus variegatus","Herb","Unsexed","Weight",4845,3200,628.645,141.421,7,2,-0.414796435537049,0.00338161433069639,-82.148,9.302,3.68529378138678,1.71180722904119,0.799409479615127,0.667509423828125,-1.46146729451465,25.9487895965576,1.7187699030518,3.43894402998259,"","Island rule","SP2"
"Anderson and Handley 2002","ES12","CC2","Panama","Isla Colón","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus variegatus","Herb","Unsexed","Weight",4845,3700,628.645,415.692,7,3,-0.269614425692551,0.00661250352105884,-82.277,9.4,3.68529378138678,1.77085201164214,0.17638069224327,0.733579150390625,-1.61109928539543,25.9276008605957,1.71847925470588,3.44356805255337,"","Island rule","SP2"
"Anderson and Handley 2002","ES13","CC2","Panama","Isla Cristobal","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus variegatus","Herb","Unsexed","Weight",4845,4100,628.645,525.476,7,5,-0.166960271632467,0.00569030394362119,-82.232,9.347,3.68529378138678,1.56584781867352,-0.521433504406157,0.733579150390625,-1.61109928539543,25.9276008605957,1.71847925470588,3.44356805255337,"","Island rule","SP2"
"Anderson and Handley 2002","ES14","CC2","Panama","Isla Escudo de Veraguas","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus pygmaeus","Herb","Unsexed","Weight",4845,2900,628.645,489.464,7,7,-0.513236508350301,0.00647461692206595,-81.558,9.097,3.68529378138678,0.633468455579587,1.24553734293599,0.567829296875,-1.4744720411254,25.9630508422852,1.68248209303807,3.45772363727808,"","Island rule","SP2"
"Anderson and Handley 2002","ES15","CC2","Panama","Isla Popa","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus variegatus","Herb","Unsexed","Weight",4845,4400,628.645,379.671,7,6,-0.0963427044185141,0.00364601808184526,-82.117,9.159,3.68529378138678,1.72427586960079,0.255513712819533,0.7521583984375,-1.69189557085295,25.9083824157715,1.68218969826177,3.44999494052502,"","Island rule","SP2"
"Bromham and Cardillo 2007","ES16","CC3","Shikoku (Japan)","Awashima island","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","Herb","Both","Weight",9200,9524.13793103448,565.685,2306.17729036197,3,29,0.0346259269337228,0.00328202749460598,139.241,38.464,3.96378782734556,0.993876914941211,1.27877645795564,0.609639697265625,-1.50460418762595,12.3414583206177,2.91447289725561,3.31795892470095,"","Island rule","SP3"
"Bromham and Cardillo 2007","ES17","CC4","Honshu, Japan","Awashima island","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","Herb","Both","Weight",9761.65048543689,9524.13793103448,2354.4057702321,2306.17729036197,206,29,-0.0246320822537229,0.00230417967311963,139.241,38.464,3.98952325374424,0.993876914941211,1.27877645795564,0.609639697265625,-1.50460418762595,12.3414583206177,2.91447289725561,3.31795892470095,"","Island rule","SP3"
"Bromham and Cardillo 2007","ES18","CC5","Kyushu","Kojima Island","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","Herb","Both","Weight",8017.82178217822,7039.69696969697,1432.24024767971,1313.26132645145,303,33,-0.130101661590408,0.0011598938360891,131.3758,31.4523,3.90405639864975,-0.522878745280338,-0.521433504406157,0.763568310546875,-2.0638640808415,17.2295665740967,2.84225776234904,3.40519944586514,"","Island rule","SP3"
"Bromham and Cardillo 2007","ES19","CC6","Honshu","Shodoshima","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata","Herb","Both","Weight",9761.65048543689,9847.36842105263,2354.4057702321,2294.42530543469,206,38,0.00874276087116293,0.00171103325848462,134.2902,34.51,3.98952325374424,2.18554215485438,1.04925679723223,0.598874951171875,-1.99146262503111,14.6380214691162,2.90809692364485,3.17423429784214,"","Island rule","SP3"
"Bromham and Cardillo 2007","ES20","CC5","Kyushu","Yakushima","Mammals","Primata","Cercopithecidae","Macaca fuscata","Macaca fuscata","Macaca fuscata yakui","Herb","Both","Weight",8017.82178217822,6350,1432.24024767971,2109.58696024973,303,8,-0.233211973852201,0.0139014463619566,130.5,30.3333,3.90405639864975,2.73239375982297,1.78533695453408,0.8206767578125,-1.78175472091836,14.5925016403198,2.79905935556105,3.51162806617604,"","Island rule","SP3"
"Bromham and Cardillo 2007","ES21","CC7","India","Sri Lanka","Mammals","Primata","Cercopithecidae","Macaca radiata","Macaca radiata","Macaca sinica","Herb","Both","Weight",5207.77777777778,3849.18558139535,1587.51216429824,1202.92017832743,27,86,-0.302291645975783,0.00457727184099473,80.714,7.74,3.71665244408089,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"","Island rule","SP4"
"Bromham and Cardillo 2007, Fooden 2000","ES22","CC8","India, China","Taiwan","Mammals","Primata","Cercopithecidae","Macaca mulatta","Macaca mulatta","Macaca cyclopis","Herb","Both","Length",3179.64227039257,4203.41687068736,386.320073376088,1145.27625764691,120,2,0.279129038307389,0.0372411023373704,120.66,23.776,3.50237826189208,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"","Island rule","SP5"
"Bromham and Cardillo 2007, Fooden 2000","ES23","CC9","India, China, SE Asia","Taiwan","Mammals","Primata","Cercopithecidae","Macaca mulatta","Macaca mulatta","Macaca cyclopis","Herb","Both","Weight",6357.24137931035,5614.54545454545,2164.20464147629,262.964609130318,58,11,-0.124233904947685,0.00219758639735763,120.66,23.776,3.80326870155353,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"","Island rule","SP5"
