tax_id,Species,guild,BM
42641,Abditomys latidens,Herb,0.269
17879,Abeomelomys sevia,Herb,0.05488
47760825,Abrawayaomys ruschii,Herb,0.06299992
42656,Abrocoma bennettii,Herb,0.2505
18,Abrocoma boliviensis,Herb,0.15800106
136334,Abrocoma budini,Herb,0.214685433
42657,Abrocoma cinerea,Herb,0.249999995
136367,Abrocoma famatina,Herb,0.214685433
136525,Abrocoma shistacea,Herb,0.214685433
136302,Abrocoma uspallata,Herb,0.214685433
136546,Abrocoma vaccarum,Herb,0.214685433
4803,Abrothrix andinus,Herb,0.02491
734,Abrothrix hershkovitzi,Herb,0.032415779
735,Abrothrix illuteus,Herb,0.04779
4804,Abrothrix jelskii,Herb,0.0345
740,Abrothrix lanosus,Herb,0.02783
743,Abrothrix longipilis,Herb,0.03886
745,Abrothrix markhami,Herb,0.029029531
751,Abrothrix olivaceus,Herb,0.02452
754,Abrothrix sanborni,Herb,0.0247
137,Acerodon celebensis,Frug,0.39
138,Acerodon humilis,Frug,0.46247129
139,Acerodon jubatus,Frug,1.075
140,Acerodon leucotis,Frug,0.46247129
142,Acerodon mackloti,Frug,0.470333333
219,Acinonyx jubatus,Carn,46.69999975
44936,Acomys airensis,Herb,0.028810408
263,Acomys cahirinus,Herb,0.052453581
NA,Acomys chudeaui,Herb,0.028810408
264,Acomys cilicicus,Herb,0.028608074
265,Acomys cineraceus,Herb,0.030590669
136471,Acomys dimidiatus,Herb,0.028810408
266,Acomys ignitus,Herb,0.024
44938,Acomys johannis,Herb,0.028810408
267,Acomys kempi,Herb,0.022
268,Acomys louisae,Herb,0.020199936
269,Acomys minous,Herb,0.0625
270,Acomys mullah,Herb,0.028743951
271,Acomys nesiotes,Herb,0.02867129
272,Acomys percivali,Herb,0.022
273,Acomys russatus,Omn,0.049749999
44939,Acomys seurati,Herb,0.028810408
47805694,Acomys spinosissimus,Herb,0.026500252
275,Acomys subspinosus,Herb,0.021
276,Acomys wilsoni,Herb,0.018499926
278,Aconaemys fuscus,Herb,0.133499611
136331,Aconaemys porteri,Herb,0.113502388
279,Aconaemys sagei,Herb,0.096500597
40584,Acrobates pygmaeus,Inver,0.012
512,Addax nasomaculatus,Herb,70.00031591
548,Aepeomys lugens,Herb,0.036999853
136484,Aepeomys reigi,Herb,0.036999853
550,Aepyceros melampus,Herb,52.50008421
40558,Aepyprymnus rufescens,Herb,3.25
555,Aeretes melanopterus,Herb,0.753226017
556,Aeromys tephromelas,Herb,1.075
557,Aeromys thomasi,Herb,1.435
136541,Aethalops aequalis,Frug,0.015
565,Aethalops alecto,Frug,0.015
568,Aethomys bocagei,Herb,0.079886928
569,Aethomys chrysophilus,Herb,0.07485
571,Aethomys hindei,Herb,0.1035
44990,Aethomys ineptus,Herb,0.13316
572,Aethomys kaiseri,Herb,0.08999948
574,Aethomys nyikae,Herb,0.077014984
567,Aethomys silindensis,Herb,0.082758295
575,Aethomys stannarius,Herb,0.082895012
576,Aethomys thomasi,Herb,0.0846949
712,Ailuropoda melanoleuca,Herb,108.4
136218,Ailurops melanotis,Herb,10
40637,Ailurops ursinus,Herb,10
714,Ailurus fulgens,Herb,4.9
723,Akodon aerosus,Inver,0.059999827
724,Akodon affinis,Inver,0.024900037
725,Akodon albiventer,Inver,0.021800176
136432,Akodon aliquantulus,Inver,0.031315361
726,Akodon azarae,Inver,0.025
727,Akodon bogotensis,Inver,0.0129999
728,Akodon boliviensis,Inver,0.027499829
729,Akodon budini,Inver,0.026899859
730,Akodon cursor,Inver,0.039850154
731,Akodon dayi,Inver,0.032499748
732,Akodon dolores,Inver,0.05049984
733,Akodon fumeus,Inver,0.022700217
736,Akodon iniscatus,Inver,0.028699875
737,Akodon juninensis,Inver,0.038999586
739,Akodon kofordi,Inver,0.029499863
741,Akodon latebricola,Inver,0.038999586
136729,Akodon leucolimnaeus,Inver,0.031315361
742,Akodon lindberghi,Inver,0.026399761
753,Akodon lutescens,Inver,0.02069
746,Akodon mimus,Inver,0.023999931
747,Akodon molinae,Inver,0.032999701
748,Akodon mollis,Inver,0.030399749
136197,Akodon montensis,Inver,0.031315361
136260,Akodon mystax,Inver,0.0185
749,Akodon neocenus,Inver,0.042400405
136408,Akodon oenos,Inver,0.031315361
752,Akodon orophilus,Inver,0.038999586
136483,Akodon paranaensis,Inver,0.031315361
136676,Akodon pervalens,Inver,0.031315361
136753,Akodon philipmyersi,Inver,0.03131
136693,Akodon reigi,Inver,0.031315361
755,Akodon sanctipaulensis,Inver,0.027100044
756,Akodon serrensis,Inver,0.028300232
757,Akodon siberiae,Inver,0.034600311
758,Akodon simulator,Inver,0.042500105
759,Akodon spegazzinii,Inver,0.028600261
760,Akodon subfuscus,Inver,0.030399749
761,Akodon surdus,Inver,0.038999586
762,Akodon sylvanus,Inver,0.038999586
763,Akodon toba,Inver,0.051200005
764,Akodon torques,Inver,0.038999586
766,Akodon varius,Inver,0.040000001
811,Alcelaphus buselaphus,Herb,171.0015315
NA,Alcelaphus caama,Herb,176.11597
NA,Alcelaphus lichtensteinii,Herb,168.69566
56003281,Alces alces,Herb,356.9981613
818,Alces americanus,Herb,541.46044
843,Alionycteris paucidentata,Frug,0.0161526
851,Allactaga balikunica,Herb,0.093083531
852,Allactaga bullata,Herb,0.089353799
47783095,Allactaga elater,Herb,0.059
854,Allactaga euphratica,Herb,0.232
855,Allactaga firouzi,Herb,0.092392474
856,Allactaga hotsoni,Herb,0.0765
857,Allactaga major,Herb,0.35
858,Allactaga severtzovi,Herb,0.159
859,Allactaga sibirica,Inver,0.0975
850,Allactaga tetradactyla,Herb,0.052
860,Allactaga vinogradovi,Herb,0.09050972
136326,Allactaga williamsi,Herb,0.116737571
861,Allactodipus bobrinskii,Herb,0.0653
865,Allenopithecus nigroviridis,Omn,4.749960521
868,Allocebus trichotis,Omn,0.0775
42640,Allocricetulus curtatus,Herb,0.047832594
875,Allocricetulus eversmanni,Herb,0.115558
136486,Alouatta arctoidea,Herb,6.145539296
39957,Alouatta belzebul,Herb,6.400000383
41545,Alouatta caraya,Herb,5.862461451
NA,Alouatta coibensis,Herb,6.320058299
43912,Alouatta discolor,Herb,6.400000383
39916,Alouatta guariba,Herb,5.18833
922,Alouatta juara,Herb,6.320058299
40642,Alouatta macconnelli,Herb,6.320058299
136332,Alouatta nigerrima,Herb,6.320058299
39960,Alouatta palliata,Herb,7.274949785
914,Alouatta pigra,Herb,7.000031591
136787,Alouatta puruensis,Herb,6.320058299
41546,Alouatta sara,Herb,6.611043275
43929,Alouatta seniculus,Herb,6.145539296
918,Alouatta ululata,Herb,6.320058299
948,Alticola albicaudus,Herb,0.03453332
949,Alticola argentatus,Herb,0.0377
950,Alticola barakshin,Herb,0.033601387
951,Alticola lemminus,Herb,0.033563576
952,Alticola macrotis,Herb,0.036
953,Alticola montosa,Herb,0.034525578
136648,Alticola olchonensis,Herb,0.036959349
954,Alticola roylei,Herb,0.037
955,Alticola semicanus,Herb,0.033393932
