Order,Family,Species,Sex,CBL_mm,Skull_mm,Weight_g,Length_mm,Location,Source
Eulipotyphla,Erinaceidae,Mesechinus wangi,Unsexed,54.55,54.75,411.2,202.4,"China, Mongolia","Ai H-S, et al. (2018) Taxonomic revision of the genus Mesechinus (Mammalia: Erinaceidae) with description of a new species. Zoological research 39(5):335."
Eulipotyphla,Erinaceidae,Mesechinus miodon,Unsexed,53.18,54.1,505,195.22,"China, Mongolia","Ai H-S, et al. (2018) Taxonomic revision of the genus Mesechinus (Mammalia: Erinaceidae) with description of a new species. Zoological research 39(5):335."
Eulipotyphla,Erinaceidae,Mesechinus hughi,Unsexed,48.46,49.39,341.39,189.71,"China, Mongolia","Ai H-S, et al. (2018) Taxonomic revision of the genus Mesechinus (Mammalia: Erinaceidae) with description of a new species. Zoological research 39(5):335."
Eulipotyphla,Erinaceidae,Mesechinus dauuricus,Unsexed,54.72,55.18,562.41,206.21,"China, Mongolia","Ai H-S, et al. (2018) Taxonomic revision of the genus Mesechinus (Mammalia: Erinaceidae) with description of a new species. Zoological research 39(5):335."
Chiroptera,Rhinolophidae,Rhinolophus affinis,Male,,23.36,13.7,,Fukien,"Allen GM (1938) The mammals of China and Mongolia (American Museum of Natural History, New York) pp 1-620; Myhrvold NP, et al. (2015) An amniote life?history database to perform comparative analyses with birds, mammals, and reptiles. Ecology 96(11):3109-3109."
Chiroptera,Rhinolophidae,Rhinolophus pusillus,Unsexed,,16.04,5,,Fukien,"Allen GM (1938) The mammals of China and Mongolia (American Museum of Natural History, New York) pp 1-620; Myhrvold NP, et al. (2015) An amniote life?history database to perform comparative analyses with birds, mammals, and reptiles. Ecology 96(11):3109-3109."
Chiroptera,Rhinolophidae,Rhinolophus luctus,Unsexed,,28.3,34.07,,Fukien,"Allen GM (1938) The mammals of China and Mongolia (American Museum of Natural History, New York) pp 1-620; Myhrvold NP, et al. (2015) An amniote life?history database to perform comparative analyses with birds, mammals, and reptiles. Ecology 96(11):3109-3109."
Rodentia,Hystricidae,Hystrix cristata,Unsexed,,135.2,19166.665,,Italy,"Angelici F, Capizzi D, Amori G, & Luiselli L (2003) Morphometric variation in the skulls of the crested porcupine Hystrix cristata from mainland Italy, Sicily, and northern Africa. Mammalian Biology 68(3):165-173; Myhrvold NP, et al. (2015) An amniote life?history database to perform comparative analyses with birds, mammals, and reptiles. Ecology 96(11):3109-3109."
Rodentia,Hystricidae,Hystrix indica,Unsexed,,148.6,17325,,India,"Angelici F, Capizzi D, Amori G, & Luiselli L (2003) Morphometric variation in the skulls of the crested porcupine Hystrix cristata from mainland Italy, Sicily, and northern Africa. Mammalian Biology 68(3):165-173; Myhrvold NP, et al. (2015) An amniote life?history database to perform comparative analyses with birds, mammals, and reptiles. Ecology 96(11):3109-3109."
Carnivora,Mustelidae,Lutra lutra,Both,114.3873494,,7809.35,,Germany,"Ansorge, H., & Stubbe, M. (1995). Nonmetric skull divergence in the otter—assessing genetic insulation of populations. IUCN Otter Specialist Group Bulletin, 11, 17-30; Myhrvold NP, et al. (2015) An amniote life/history database to perform comparative analyses with birds, mammals, and reptiles. Ecology 96(11):3109-3109."
