sub-order,infraorder,Family,species,zonation,venomous,Longevity (years),log mass (g),log hatchling mass (g),Activity time,diet,mode of reproduction,clutch size,broods per year,Body temperature (oC),age at maturity (months),latitude,log NPP,character (mass equation),mass equation (from Meiri 2011 unless stated),longevity data from,longevity data: source,phylogeny,
Serpentes,Alethinophidia,Colubridae,Chilomeniscus stramineus,Fossorial,no,4.0,0.68,-0.78,Nocturnal,Carnivorous,Oviparous,3.0,NA,NA,NA,29.4,10.8,TL,"Colubridae sensu stricto (Feldman, unpublished)",Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Serpentes,Alethinophidia,Colubridae,Pituophis catenifer,Fossorial,no,33.8,3.20,1.28,Cathemeral,Carnivorous,Oviparous,11.1,1.0,26.7,48,38.1,11.2,TL,"Colubridae sensu stricto (Feldman, unpublished)",Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Serpentes,Alethinophidia,Colubridae,Pituophis melanoleucus,Fossorial,no,22.4,2.98,1.63,Diurnal,Carnivorous,Oviparous,8.7,1.0,28.6,36.0,32.6,11.5,TL,"Colubridae sensu stricto (Feldman, unpublished)",Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Amphisbaenia,Amphisbaenia,Amphisbaenidae,Amphisbaena alba,Fossorial,no,15.2,3.01,0.18,Cathemeral,Carnivorous,Oviparous,6.5,1.0,25.0,NA,12.9,11.8,SVL,Amphisbaenidae,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Amphisbaenia,Amphisbaenia,Amphisbaenidae,Monopeltis capensis,Fossorial,no,1.8,1.50,-1.09,Diurnal,Carnivorous,Viviparous,2.0,NA,NA,NA,27.9,11.3,SVL,Amphisbaenidae,Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Amphisbaenia,Amphisbaenia,Blanidae,Blanus cinereus,Fossorial,no,16.0,1.22,-0.39,Diurnal,Omnivorous,Oviparous,1.5,1.0,22.8,NA,39.3,11.3,SVL,Amphisbaenia,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Amphisbaenia,Amphisbaenia,Blanidae,Blanus strauchi,Fossorial,no,6.3,0.99,-0.12,Cathemeral,Carnivorous,Oviparous,1.5,NA,NA,36.0,36.9,11.2,SVL,Amphisbaenia,Captivity,TAUM,Pyron and Burbrink 2014,
Amphisbaenia,Amphisbaenia,Trogonophiidae,Trogonophis wiegmanni,Fossorial,no,14.0,1.15,-0.41,Cathemeral,Carnivorous,Oviparous,3.5,0.8,22.0,30.0,34.0,11.0,SVL,Amphisbaenidae,Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Rhynchocephalia,Rhynchocephalia,Sphenodontidae,Sphenodon punctatus,Terrestrial,no,91.0,3.11,0.67,Nocturnal,Carnivorous,Oviparous,9.4,0.2,13.5,144.0,36.7,10.6,SVL,derived from mass directly,unclear,Moore et al. 2007,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Acanthocercus atricollis,Arboreal,no,10.9,2.09,-0.11,Diurnal,Carnivorous,Oviparous,11.4,1.0,39.8,NA,13.1,11.6,SVL,Agamidae,Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Acanthosaura armata,Arboreal,no,2.1,1.82,-0.23,Diurnal,Carnivorous,Oviparous,12.0,NA,NA,NA,19.2,11.5,SVL,Agamidae,Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Acanthosaura crucigera,Arboreal_plus,no,2.6,1.96,NA,Diurnal,Carnivorous,Oviparous,14.0,NA,NA,NA,6.3,10.9,SVL,Agamidae,Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Agama aculeata,Terrestrial,no,2.2,1.58,-0.38,Diurnal,Omnivorous,Oviparous,12.8,2.0,NA,NA,27.5,11.3,SVL,Agamidae,Captivity,Hughes 1988,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Agama agama,Arboreal_plus,no,8.0,1.91,-0.19,Diurnal,Omnivorous,Oviparous,8.8,2.0,35.9,14.0,9.7,11.3,SVL,Agamidae,Captivity,http://www.reptileforums.co.uk/forums/lizards/535882-agamas-life-span.html,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Agama caudospinosa,Terrestrial,no,9.6,2.04,NA,Diurnal,Omnivorous,Oviparous,NA,NA,NA,NA,0.1,11.8,SVL,Agamidae,Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Agama etoshae,Terrestrial,no,2.1,0.99,NA,Diurnal,Carnivorous,Oviparous,9.5,NA,NA,NA,18.0,11.1,SVL,Agamidae,Captivity,Hughes 1988,phylogeny of Leache et al. 2009 and taxonomy of McLachlan 1981,
Sauria,Acrodontia,Agamidae,Agama hartmanni,Terrestrial,no,2.1,1.26,NA,Diurnal,Carnivorous,Oviparous,NA,NA,NA,NA,17.8,10.5,SVL,Agamidae,Captivity,Slavens and Slavens 1999,"close to A. spinosa (Wagner and Bauer 2011), which is close to A. impalearis (Leache et al. 2009)",
Sauria,Acrodontia,Agamidae,Agama impalearis,Terrestrial,no,6.0,1.76,-0.34,Diurnal,Carnivorous,Oviparous,11.8,2.0,NA,12.0,27.7,10.4,SVL,Agamidae,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Acrodontia,Agamidae,Agama lionotus,Arboreal_plus,no,4.0,1.86,-0.23,Diurnal,Carnivorous,Oviparous,10.3,NA,NA,NA,2.1,11.7,SVL,Agamidae,Captivity,TAUM,Pyron and Burbrink 2014,
