IOC3_1_Binomial,SpeciesID,IOC3_1_Order,IOC3_1_Family,IOC3_1_Genus,IOC3_1_Species,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Tinamus_tao,1,TINAMIFORMES,Tinamidae,Tinamus,tao,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Tinamus_solitarius,2,TINAMIFORMES,Tinamidae,Tinamus,solitarius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Tinamus_osgoodi,3,TINAMIFORMES,Tinamidae,Tinamus,osgoodi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Tinamus_major,4,TINAMIFORMES,Tinamidae,Tinamus,major,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Tinamus_guttatus,5,TINAMIFORMES,Tinamidae,Tinamus,guttatus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothocercus_bonapartei,6,TINAMIFORMES,Tinamidae,Nothocercus,bonapartei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothocercus_julius,7,TINAMIFORMES,Tinamidae,Nothocercus,julius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothocercus_nigrocapillus,8,TINAMIFORMES,Tinamidae,Nothocercus,nigrocapillus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_berlepschi,9,TINAMIFORMES,Tinamidae,Crypturellus,berlepschi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_cinereus,10,TINAMIFORMES,Tinamidae,Crypturellus,cinereus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_soui,11,TINAMIFORMES,Tinamidae,Crypturellus,soui,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_ptaritepui,12,TINAMIFORMES,Tinamidae,Crypturellus,ptaritepui,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_obsoletus,13,TINAMIFORMES,Tinamidae,Crypturellus,obsoletus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_undulatus,14,TINAMIFORMES,Tinamidae,Crypturellus,undulatus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"presumably sedentary, moves to Terra firme after rainy season",0,resident,full resident,full resident
Crypturellus_transfasciatus,15,TINAMIFORMES,Tinamidae,Crypturellus,transfasciatus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Crypturellus_strigulosus,16,TINAMIFORMES,Tinamidae,Crypturellus,strigulosus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
