Class,Order,Family,Species,Measure,Allometry,BM_units,a,b,N,R2,Type,log,Note,Source,Note,") When the purpose of the study is not to estimate the parameters of a functional relationship, but simply to forecast or predict values of y for given x’s, use OLS in all cases. OLS is the only method that minimizes the squared residuals in y. The OLS regression line itself is meaningless. Do not use the standard error and confidence bands, however, unless x is known to be free of error (Sokal and Rohlf, 1995, p. 545, Table 14.3); this warning applies in particular to the 95% confidence intervals computed for OLS by this program"
Amphibians,Anura,All,All,SVL,10^-4.324×SVL^3.189; Santini et al. 2017,g,-4.324,3.189,88,0.949,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Anura,Bufonidae,All,SVL,10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017,g,-3.791,2.914,9,0.98,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,SVL,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)",g,-4.4312,3.2088,NR,0.9629,OLS,log10,,"Thammachoti, P., Khonsue, W., Kitana, J., Varanusupakul, P. & Kitana, N. Morphometric and gravimetric parameters of the rice frog Fejervarya limnocharis living in areas with different agricultural activity. Journal of Environmental Protection 3, 1403 (2012).",,
Amphibians,Anura,Hylidae,All,SVL,10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017,g,-4.462,3.201,35,0.938,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Anura,Myobatrachidae,All,SVL,10^-4.586×SVL^3.372; Santini et al. 2017,g,-4.586,3.372,12,0.952,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Anura,Ranidae,All,SVL,10^-4.862×SVL^3.492 (Ranidae); Santini et al. 2017,g,-4.862,3.492,13,0.847,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Caudata,Plethodontidae,All,SVL,10^-4.706×SVL^2.968 (Plethodontidae); Santini et al. 2017,g,-4.706,2.968,21,0.925,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Caudata,Salamandridae,All,SVL,10^-4.744×SVL^3.073 (Salamandridae); Santini et al. 2017,g,-4.744,3.073,13,0.933,PGLS,log10,,"Santini, L., Benítez-López, A., Ficetola, G. F. & Huijbregts, M. A. Length–mass allometries in amphibians. Integrative zoology 13, 36-45 (2018).",,
Amphibians,Gymnophiona,All,All,TL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.597-5.465, I used the allometry for all snakes as approximation (see also Pough 1980). Feldman et al 2015",g,-5.465,2.597,,,,log10,"I used snake allometry as approximation, see also Pough 1980","Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Birds,All,All,All,Bill length,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53",g,-0.86831,1.9221,2376,0.53,OLS,log10,,"Lislevand, T., Figuerola, J. & Székely, T. Avian body sizes in relation to fecundity, mating system, display behavior, and resource sharing. Ecology 88, 1605-1605 (2007).",,
Birds,All,All,All,Tarsus length,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69",g,-1.77769,2.48163,2257,0.69,OLS,log10,,"Lislevand, T., Figuerola, J. & Székely, T. Avian body sizes in relation to fecundity, mating system, display behavior, and resource sharing. Ecology 88, 1605-1605 (2007).",,
Birds,All,All,All,Wing length,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89",g,-3.39965,2.50808,2618,0.89,OLS,log10,,"Lislevand, T., Figuerola, J. & Székely, T. Avian body sizes in relation to fecundity, mating system, display behavior, and resource sharing. Ecology 88, 1605-1605 (2007).",,
Mammals,Rodentia,Muridae,Apodemus argenteus,antero-posterior diameter of the lower incisor,"ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).",g,3.19,2.58,51,0.93,,log,ln,"Millien-Parra, V. (2000). Species differentiation among muroid rodents on the basis of their lower incisor size and shape: ecological and taxonomical implications. MAMMALIA-PARIS-, 64(2), 221-240.",,
Mammals,Carnivora,All,All,Basal length,"log10(mass,kg) = -5.6181 +3.1483*log10(CBL mm), r2 = 0.90, Van Valkenburgh, All Carnivora.",kg,-5.6181,3.1483,70,0.9,OLS,log10,,"Van Valkenburgh, B. Skeletal and dental predictors of body mass in carnivores. Body size in mammalian paleobiology: estimation and biological implications 18, 1-205 (1990).",,
Mammals,Chiroptera,All,All,Basal length,"Rodentia: log10(BM,kg) = -6.678 +3.608*log10(CBL, mm)",kg,-6.678,3.608,19,0.9158,OLS,log10,,"Reynolds, P. How big is a giant? The importance of method in estimating body size of extinct mammals. Journal of Mammalogy 83, 321-332 (2002).",,
Mammals,Rodentia,All,All,Basal length,"Rodentia: log10(BM,kg) = -6.678 +3.608*log10(CBL, mm)",kg,-6.678,3.608,19,0.9158,OLS,log10,,"Reynolds, P. How big is a giant? The importance of method in estimating body size of extinct mammals. Journal of Mammalogy 83, 321-332 (2002).",,
Mammals,Rodentia,Castoridae,All,Basilar length of Hensel,"Castoridae: log10(BM, kg) = -5.245 +3.116*log10(CBL, mm)",kg,-5.245,3.116,76,,OLS,log10,,"Reynolds, P. How big is a giant? The importance of method in estimating body size of extinct mammals. Journal of Mammalogy 83, 321-332 (2002).",,
Mammals,Primata,Lepilemuridae,All,Basicranial length,"LOG10(Weight, g)= LOG10(BL, mm)*4.5499- 4.7488, own allometry, data from Masters et al. 2014, N = 14, r2= 0.9436",g,-4.7488,4.5499,14,0.9436,OLS,log10,,"Several. Own model based on data from Masters et al. 2014, ",,
Mammals,All,All,All,CBL,"log10(mass,g) = -3.177  +3.3747*log10(CBL mm), r2 = 0.9711, own model, All species",g,-3.177,3.3747,357,0.9711,OLS,log10,,Several. Own model,,
Mammals,Carnivora,All,All,CBL,"log10(mass,kg) = -5.6181 +3.1483*log10(CBL mm), r2 = 0.90, Van Valkenburgh, All Carnivora.",kg,-5.6181,3.1483,70,0.9,OLS,log10,,"Van Valkenburgh, B. Skeletal and dental predictors of body mass in carnivores. Body size in mammalian paleobiology: estimation and biological implications 18, 1-205 (1990).",,
Mammals,Carnivora,All,All,CBL,"log10(mass,g) = -3.3072 +3.4394*log10(CBL mm), r2 = 0.9307, Carnivora. Own model",g,-3.3072,3.4394,230,0.9406,OLS,log10,,Several. Own model. Including Van Valkenburgh,,
Mammals,Carnivora,Canidae,All,CBL,"log10(mass,kg) = -5.1807 + 2.848*log10(CBL mm), r2 = 0.88, Van Valkenburgh, Carnivora. CANIDS",kg,-5.1807,2.8484,14,0.8825,OLS,log10,,"Van Valkenburgh, B. Skeletal and dental predictors of body mass in carnivores. Body size in mammalian paleobiology: estimation and biological implications 18, 1-205 (1990).",,
Mammals,Carnivora,Felidae,All,CBL,"log10(mass,kg) = -5.5917 + 3.1696*log10(CBL mm), r2 = 0.834, Van Valkenburgh, Carnivora. FELIDS",kg,-5.5197,3.1696,16,0.8649,OLS,log10,,"Van Valkenburgh, B. Skeletal and dental predictors of body mass in carnivores. Body size in mammalian paleobiology: estimation and biological implications 18, 1-205 (1990).",,
Mammals,Carnivora,Mustelidae,All,CBL,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae",g,-4.2989,3.9273,75,0.9556,OLS,log10,,Several. Own model,,
