"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Lampert et al. 2007","Mainland Panama (Gigante, Bohio,  Gamboa)","Barro Colorado","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Physalaemus pustulosus","Physalaemus pustulosus","","Male","SVL",27.075,26.607,1.17,1.324,86,61,27.07466589,NA,1.16984514,NA,86,NA,26.60714286,NA,1.324293706,NA,61,NA,-79.8475,9.1555,1.17609125905568,-0.300162274132754,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,27.075,26.607,1.17,1.324
"Lampert et al. 2007","Mainland Panama","Coiba","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Physalaemus pustulosus","Physalaemus pustulosus","","Male","SVL",27.336,36.494,1.179,1.195,103,6,27.33644086,NA,1.179461909,NA,103,NA,36.49350649,NA,1.194785807,NA,6,NA,-81.777,7.486,2.70156798505593,1.35220181965942,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.75677451171875,0.0401213409423828,25.4241352081299,63.8000984191895,2659.55004882812,0.678510205078125,0.0397067138671875,25.5734539031982,64.8074722290039,2834.0556640625,0.709733740234375,0.0265860809326172,26.0038585662842,64.4986724853516,2861.70288085938,0.75677451171875,-1.38593273169804,25.4241352081299,1.80482134867223,3.42480816751817,NA,27.336,36.494,1.179,1.195
"Lampert et al. 2007","Mainland Panama (La Guaira)","Grande (Panama)","Amphibians","Anura","Leptodactylidae","Engystomops pustulosus","Physalaemus pustulosus","Physalaemus pustulosus","","Male","SVL",28.661,31.238,1.228,1.038,17,31,28.66071429,NA,1.228140973,NA,17,NA,31.23782468,NA,1.037913443,NA,31,NA,-79.5648,9.6327,0.845098040014257,-0.300162274132754,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.62112607421875,0.0213336471557617,26.5128993988037,79.324836730957,2283.39990234375,0.692165380859375,0.0238601364135742,26.2895469665527,77.860221862793,2538.06811523438,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.62112607421875,-1.651040349464,26.5128993988037,1.89940918689388,3.35858197814465,NA,28.661,31.238,1.228,1.038
"Mageski et al. 2015","Paulo César
Vinha SP (Guarapari, Brazil)","Tres Ilhas (Brazil)","Amphibians","Anura","Hylidae","Phyllodytes luteolus","Phyllodytes luteolus","Phyllodytes luteolus","","Male","SVL",21.4,24.1,1.58,1.144,29,29,21.4,NA,1.58,NA,29,NA,24.1,NA,1.14,NA,29,NA,-40.382,-20.613,-1,0.477265995424853,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","","Island rule",0.238153271484375,0.0348079772949219,23.4541664123535,198.722030639648,1177,0.42998701171875,0.0193299407958984,23.4342098236084,200.202194213867,1198.5625,0.6413580078125,0.0131572906494141,21.5661773681641,203.945495605469,1245.435546875,0.238153271484375,-1.44602021052857,23.4541664123535,2.29824601635422,3.07077646284343,NA,21.4,24.1,1.58,1.144
"Montesinos et al. 2012","Brazil (Rio de Janeiro)","Grande","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","","Male","SVL",67.162,57.812,3.966,3.677,87,29,67.16197701,NA,3.97,NA,87,NA,57.81,NA,3.68,NA,29,NA,-44.247,-23.141,2.27875360095283,0.491501766237326,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.83447255859375,0.00655914077758789,21.5135288238525,215.348709106445,1679.34997558594,0.75654541015625,0.0272040283203125,22.2188510894775,212.309524536133,1682.54455566406,0.76589365234375,0.0201510192871094,20.950231552124,226.968246459961,1954.71020507812,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,NA,67.162,57.812,3.966,3.677
"Montesinos et al. 2012","Seropédica (Rio Janeiro)","Itacurucá","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","","Male","SVL",67.162,69.512,3.966,3.698,87,31,67.16197701,NA,3.97,NA,87,NA,69.51,NA,3.7,NA,31,NA,-43.891,-22.891,1,-0.655607726314889,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,67.162,69.512,3.966,3.698
"Montesinos et al. 2012","Seropédica (Rio Janeiro)","Marambaia","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","","Male","SVL",67.162,60.651,3.966,3.287,87,30,67.16197701,NA,3.97,NA,87,NA,60.65,NA,3.29,NA,30,NA,-43.789,-23.061,1.6232492903979,0.982316469692065,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.567623486328125,0.0104738075256348,23.3548812866211,202.453918457031,1289,0.636976806640625,0.0101798233032227,23.0235233306885,204.207931518555,1336.03332519531,0.612036474609375,0.0109568061828613,23.1600742340088,201.659149169922,1262.7900390625,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,NA,67.162,60.651,3.966,3.287
"Reboucas et al. 2018","Rio de Janeiro","Itacurucá","Amphibians","Anura","Hylidae","Hypsiboas albomarginatus","Boana albomarginata","Boana albomarginata","","Male","SVL",43.9,46.8,2.8,1.9,108,34,43.9,NA,2.8,NA,108,NA,46.8,NA,1.9,NA,34,NA,-43.891,-22.891,1,-0.655607726314889,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,43.9,46.8,2.8,1.9
"Reboucas et al. 2018","Rio de Janeiro","Marambaia","Amphibians","Anura","Hylidae","Hypsiboas albomarginatus","Boana albomarginata","Boana albomarginata","","Male","SVL",43.9,45.4,2.8,0.8,108,33,43.9,NA,2.8,NA,108,NA,45.4,NA,0.8,NA,33,NA,-43.789,-23.061,1.6232492903979,0.982316469692065,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","","Island rule",0.567623486328125,0.0104738075256348,23.3548812866211,202.453918457031,1289,0.636976806640625,0.0101798233032227,23.0235233306885,204.207931518555,1336.03332519531,0.612036474609375,0.0109568061828613,23.1600742340088,201.659149169922,1262.7900390625,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,NA,43.9,45.4,2.8,0.8
"Reboucas et al. 2018","Rio de Janeiro","Grande","Amphibians","Anura","Leptodactylidae","Leptodactylus marmoratus","Adenomera marmorata","Adenomera marmorata","","Male","SVL",20.5,20.4,1.3,1,99,26,20.5,NA,1.3,NA,99,NA,20.4,NA,1,NA,26,NA,-44.247,-23.141,2.27875360095283,0.491501766237326,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.83447255859375,0.00655914077758789,21.5135288238525,215.348709106445,1679.34997558594,0.75654541015625,0.0272040283203125,22.2188510894775,212.309524536133,1682.54455566406,0.76589365234375,0.0201510192871094,20.950231552124,226.968246459961,1954.71020507812,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,NA,20.5,20.4,1.3,1
