Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Arntzen and Garcia-Paris 1995,ES1,CC1,Spain (South),Mallorca,Amphibians,Anura,Alytidae,Alytes dickhilleni,Alytes dickhilleni,Alytes mustelensis,7.93329827,3.174321617,0.606770321,0.211296868,53,30,-0.915974927,0.000258068,2.9951,39.7104,0.899453783,3.561101384,2.240551744,0.481166992,-2.031902789,15.66391087,2.754050401,2.770730376,SP1
"Cumbo et al 2010, Oromi et al. 2016",ES2,CC2,Argelia,Sicily,Amphibians,Anura,Alytidae,Discoglossus pictus,Discoglossus pictus,Discoglossus pictus,5.969974892,18.69973559,1.371377187,1.916023919,66,70,1.141766662,0.000949492,14.275,37.481,0.775972505,4.405858399,0.491501766,0.48783291,-1.749154229,15.4296608,2.769870765,2.709182665,SP2
Blackburn 2010,ES3,CC3,Cameroon,Bioko,Amphibians,Anura,Arthroleptina,Arthroleptis poecilonotus,Arthroleptis poecilonotus,Arthroleptis bioko,1.37460957,2.482130675,0.022530988,0.250515906,4,5,0.590947593,0.002104448,8.7,3.5,0.138179363,3.304705898,1.623259631,0.507468408,-1.416707527,23.47450447,1.916617499,3.400210167,SP3
Kang et al. 2017,ES4,CC4,Korea,Cheju Do,Amphibians,Anura,Bombinatorina,Bombina orientalis,Bombina orientalis,Bombina orientalis,7.727,5.663,2.202,1.561,210,27,-0.310766902,0.003200878,126.591,33.377,0.888010912,3.261500773,1.913819149,0.607816064,-1.817432601,14.36646843,2.883542154,3.271504877,SP4
Castellano and Giacoma 1998,ES5,CC5,Italy,Corsica,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo viridis,30.76842909,47.12658308,2.66717639,2.701203775,118,18,0.426348104,0.000246201,9.12,42.1,1.488105324,3.938569756,1.904179783,0.627191943,-1.922814329,12.08275795,2.783306102,2.904647176,SP5
Castellano and Giacoma 1998,ES6,CC5,Italy,Pellestrina,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo viridis,30.76842909,33.79551618,2.66717639,2.28232083,118,10,0.093839001,0.000519755,12.301,45.273,1.488105324,0.477121255,0.740441645,0.24353833,-1.636482613,13.807127,2.851381011,2.864511081,SP5
Castellano and Giacoma 1998,ES7,CC5,Italy,Sardinia,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo viridis,30.76842909,63.33603917,2.66717639,4.672968517,118,38,0.721965372,0.000206933,9.034,40.029,1.488105324,4.377178713,2.330415803,0.583570215,-1.736022433,14.67077637,2.781609188,2.797815941,SP5
Castellano et al 1999,ES8,CC6,Italy,Sardinia,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo viridis,26.78800778,63.53630107,2.1456414,4.234734215,369,109,0.863657097,5.81E-05,9.034,40.029,1.427940416,4.377178713,2.330415803,0.583570215,-1.736022433,14.67077637,2.781609188,2.797815941,SP5
Clark 1967,ES9,CC7,Mainland Greece (North),Spetsai,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo viridis viridis,30.8293399,24.57721924,3.922774781,5.213647442,115,2,-0.226646864,0.022641062,23.134,37.258,1.488964226,1.346352974,0.361916619,0.456665723,-1.897865735,17.63490295,2.766046948,2.696137876,SP5
Kutrup et al 2011,ES10,CC8,Turkey,Giresun,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo viridis,34.91093336,53.35551448,3.193979009,4.256309483,44,56,0.42417728,0.000303871,38.437,40.929,1.54296146,-1.397940009,0.146438135,0.612859766,-1.684708424,14.34231758,2.771119832,3.069364671,SP5
Lo Valvo and Giacalone 2008,ES11,CC9,Italy,Sicily,Amphibians,Anura,Bufonidae,Bufotes viridis,Bufo viridis,Bufo siculus,26.78800778,45.10554072,2.1456414,3.046912846,369,354,0.521050777,3.03E-05,14.275,37.481,1.427940416,4.405858399,0.491501766,0.48783291,-1.749154229,15.4296608,2.769870765,2.709182665,SP5
Montesinos et al. 2012,ES12,CC10,Brazil (Rio de Janeiro),Grande,Amphibians,Anura,Bufonidae,Rhinella ornata,Rhinella ornata,Rhinella ornata,34.13801225,22.05567911,2.015892269,1.402801012,87,29,-0.436841367,0.000179574,-44.247,-23.141,1.53323823,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP6
Montesinos et al. 2012,ES13,CC11,Seropédica (Rio Janeiro),Itacurucá,Amphibians,Anura,Bufonidae,Rhinella ornata,Rhinella ornata,Rhinella ornata,34.13801225,37.73655158,2.015892269,2.007563698,87,31,0.100217671,0.000131377,-43.891,-22.891,1.53323823,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP6
Montesinos et al. 2012,ES14,CC11,Seropédica (Rio Janeiro),Marambaia,Amphibians,Anura,Bufonidae,Rhinella ornata,Rhinella ornata,Rhinella ornata,34.13801225,25.36236991,2.015892269,1.374521605,87,30,-0.297144916,0.000137985,-43.789,-23.061,1.53323823,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP6
Reboucas et al 2019,ES15,CC12,Brazi,Grande,Amphibians,Anura,Bufonidae,Rhinella ornata,Rhinella ornata,Rhinella ornata,33.64565318,21.65344986,3.996516355,1.890643791,39,20,-0.440719082,0.000742961,-44.247,-23.141,1.526928964,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP6
Reboucas et al 2019,ES16,CC12,Brazi,Itacurucá,Amphibians,Anura,Bufonidae,Rhinella ornata,Rhinella ornata,Rhinella ornata,33.64565318,35.74256237,3.996516355,3.162553299,39,27,0.060458332,0.000651738,-43.891,-22.891,1.526928964,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP6
Reboucas et al 2019,ES17,CC12,Brazi,Marambaia,Amphibians,Anura,Bufonidae,Rhinella ornata,Rhinella ornata,Rhinella ornata,33.64565318,25.87755745,3.996516355,3.491527458,39,21,-0.262507785,0.001228669,-43.789,-23.061,1.526928964,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP6
"Salvido et al. 1993, Hemelaar 1988",ES18,CC13,Norway,Hitra,Amphibians,Anura,Bufonidae,Bufo bufo,Bufo bufo,Bufo bufo,31.76947838,35.72882531,1.651382577,2.307552101,1012,29,0.117451765,0.000146506,8.7022,63.5344,1.502010084,2.832764305,0.544192111,0.512822754,-1.255270416,6.260993481,2.699823493,3.103290472,SP7
Reboucas et al. 2018,ES19,CC14,Rio de Janeiro,Grande,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,19.06935202,15.49910121,2.867070408,2.284382455,34,26,-0.207300404,0.001500363,-44.247,-23.141,1.280335936,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP8
Reboucas et al. 2018,ES20,CC14,Rio de Janeiro,Itacurucá,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,19.06935202,15.68428326,2.867070408,1.982400115,34,19,-0.195423295,0.001505667,-43.891,-22.891,1.280335936,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP8
Reboucas et al. 2018,ES21,CC14,Rio de Janeiro,Marambaia,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,19.06935202,18.02640443,2.867070408,2.309432596,34,32,-0.056244844,0.001177765,-43.789,-23.061,1.280335936,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP8
Siqueira et al. 2006,ES22,CC15,Rio de Janeiro,Grande,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,11.77209302,12,4.003,9.9,43,33,0.019174918,0.023314028,-44.247,-23.141,1.070853685,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP8
Brown et al. 2010,ES23,CC16,Panama,Cayo Agua,Amphibians,Anura,Dendrobatidae,Oophaga pumilio,Oophaga pumilio,Oophaga pumilio,0.408032504,0.429444733,0.009311896,0.023482561,57,34,0.05114622,9.71E-05,-82.039,9.1518,-0.38930524,1.190331698,0.342620043,0.672026611,-1.609722306,25.94358444,1.688088722,3.463543609,SP9
Brown et al. 2010,ES24,CC16,Panama,Pastores,Amphibians,Anura,Dendrobatidae,Oophaga pumilio,Oophaga pumilio,Oophaga pumilio,0.408032504,0.424352589,0.009311896,0.018300129,57,22,0.03921785,9.37E-05,-82.339,9.237,-0.38930524,0.380211242,-0.096367484,0.763761377,-1.624224596,25.43827057,1.697554168,3.454867702,SP9
Brown et al. 2010,ES25,CC16,Panama,San Cristobal,Amphibians,Anura,Dendrobatidae,Oophaga pumilio,Oophaga pumilio,Oophaga pumilio,0.408032504,0.578788637,0.009311896,0.012685032,57,16,0.349590526,3.92E-05,-82.2688,9.2597,-0.38930524,1.593286067,-0.221125528,0.766273779,-1.644535039,25.80436897,1.697870319,3.444513206,SP9
Hon Tjong et al. 2011,ES26,CC17,Honshu (Hiroshima),Kyushu (Kumamoto),Amphibians,Anura,Dicroglossidae,Fejervarya kawamurai,Fejervarya kawamurai,Fejervarya kawamurai,5.508057599,5.153548495,0.328209161,0.451393813,10,10,-0.066526532,0.001122244,131.0378,32.746,0.740998473,4.564890845,-0.045275209,0.742241846,-2.063161512,14.04964352,2.887310745,3.395333604,SP10
Hon Tjong et al. 2011,ES27,CC17,Honshu (Hiroshima),Okinawajima,Amphibians,Anura,Dicroglossidae,Fejervarya kawamurai,Fejervarya kawamurai,Fejervarya kawamurai,5.508057599,5.855286337,0.328209161,0.243253794,10,7,0.061132862,0.000601624,127.9278,26.4794,0.740998473,3.081700074,2.763428742,0.483222998,-1.490924616,22.89743233,2.650553076,3.320220094,SP10
Hon Tjong et al. 2011,ES28,CC17,Honshu (Hiroshima),Yoronjima Islands,Amphibians,Anura,Dicroglossidae,Fejervarya kawamurai,Fejervarya kawamurai,Fejervarya kawamurai,5.508057599,8.022734392,0.328209161,0.740998885,10,12,0.376067272,0.001065963,128.432,27.0425,0.740998473,1.318063335,2.681242142,0.443155078,-1.558095158,22.68047714,2.669671575,3.315991346,SP10
Xu et al. 2013,ES29,CC18,China (Zhejiang province),Cezi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.255260585,0.316588048,0.354521547,125,30,0.145046925,0.0001905,121.934,30.095,0.657601176,1.173186268,1.217510264,0.460071191,-1.793627783,16.37299538,2.901364422,3.089131187,SP11
Xu et al. 2013,ES30,CC18,China (Zhejiang province),Changbai,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.501710711,0.316588048,0.345706517,125,27,0.190876416,0.000185041,122.035,30.181,0.657601176,1.010299957,1.575199395,0.376414258,-1.95207444,16.38397408,2.901455228,3.084215106,SP11
