"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Archipielago","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Higgins and Peter 2002","NSW, Vic & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa leighi","Acanthiza chrysorrhoa leachi","","Both","Weight",9.55609756097561,10.3538461538462,0.960657009678225,0.619765257463646,41,13,9.4,9.8,0.9,1.03,25,16,10.4,10.3,0.45,0.82,7,6,146.5,-42.1,4.80317698254222,2.38021305126818,"No","Weight","Conspecific","No island rule","Yes",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,9.55609756097561,10.3538461538462,0.960657009678225,0.619765257463646
"Pigot et al. 2020","Australia","New Guinea","Birds","Passeriformes","Acanthizidae","Acanthiza katherina","Acanthiza katherina","Acanthiza murina","","Male","Tarsus Length",17.85,17.733,1.061,0.85,2,3,17.85,NA,1.060660172,NA,2,NA,17.73333333,NA,0.850490055,NA,3,NA,141.814,-5.752,5.89528604782638,2.18469426933435,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes",0.7913337890625,0.0374270416259766,26.4234008789062,72.2477188110352,4836.5,0.779418603515625,0.0392946105957031,25.7510147094727,69.9688415527344,4882.904296875,0.770036767578125,0.0354534576416016,22.6774826049805,57.5012283325195,5058.26708984375,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,NA,17.85,17.733,1.061,0.85
"Pigot et al. 2020","Australia","New Guinea","Birds","Passeriformes","Acanthizidae","Acanthiza katherina","Acanthiza katherina","Acanthiza murina","Invertebrate","Male","Wing Length",51.75,57.167,2.475,0.764,2,3,51.75,NA,2.474873734,NA,2,NA,57.16666667,NA,0.763762616,NA,3,NA,141.814,-5.752,5.89528604782638,2.18469426933435,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes",0.7913337890625,0.0374270416259766,26.4234008789062,72.2477188110352,4836.5,0.779418603515625,0.0392946105957031,25.7510147094727,69.9688415527344,4882.904296875,0.770036767578125,0.0354534576416016,22.6774826049805,57.5012283325195,5058.26708984375,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,NA,51.75,57.167,2.475,0.764
"Higgins and Peter 2002","SA, Australia","Kangaroo","Birds","Passeriformes","Acanthizidae","Acanthiza lineata","Acanthiza lineata clelandi","Acanthiza lineata whitei","","Male","Weight",7.6,7.7,0.37,0.26,15,5,7.6,NA,0.37,NA,15,NA,7.7,NA,0.26,NA,5,NA,137.207,-35.819,3.64394591274807,1.13036593726521,"No","Weight","Conspecific","No island rule","Yes",0.589648583984375,0.0198739791870117,15.294020652771,329.326232910156,641.150024414062,0.543502099609375,0.016977262878418,15.3680982589722,316.102264404297,616.402526855469,0.485036669921875,0.0192640289306641,15.7639455795288,325.165893554688,532.760314941406,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,NA,7.6,7.7,0.37,0.26
"Keast 1968","Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla","Acanthiza pusilla","","Male","Wing Length",50,54,1.891,1.949,11,10,50,NA,1.890954932,NA,11,NA,54,NA,1.949317739,NA,10,NA,146.5,-42.1,4.80317698254222,2.38021305126818,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,50,54,1.891,1.949
"Higgins and Peter 2002","NSW, ACT, Vic, & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza ewingii ewingii","","Both","Weight",7.08421052631579,6.92857142857143,1.35796650412143,0.848445439533708,57,35,7.4,6.5,1.52,0.71,37,20,7.2,6.7,1.02,0.61,16,19,146.5,-42.1,4.80317698254222,2.38021305126818,"No","Weight","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,7.08421052631579,6.92857142857143,1.35796650412143,0.848445439533708
"Higgins and Peter 2002","NSW, ACT, Vic, & SA, Australia","King Island","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza ewingii rufifrons","","Both","Weight",7.08421052631579,7.26363636363636,1.35796650412143,0.521066173062459,57,22,7.4,6.5,1.52,0.71,37,20,7.4,6.8,0.42,0.61,17,5,143.983,-39.8666,3.04060234011407,1.93752290693622,"No","Weight","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes",0.72888662109375,0.0209152404785156,13.4728784561157,254.901550292969,1007.42999267578,0.607816455078125,0.0203521942138672,13.5845718383789,251.405975341797,978.731262207031,0.607816455078125,0.0203521942138672,13.5845718383789,251.405975341797,978.731262207031,0.607816455078125,-1.67055748897574,13.5845718383789,2.40037559565356,2.9906634605853,NA,7.08421052631579,7.26363636363636,1.35796650412143,0.521066173062459
"Higgins and Peter 2002","NSW, ACT, Vic, & SA, Australia","Tasmania","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza pusilla diemenensis","","Both","Weight",7.08421052631579,8.21081081081081,1.35796650412143,0.964907532640588,57,37,7.4,6.5,1.52,0.71,37,20,8.6,7.7,0.91,0.8,21,16,146.5,-42.1,4.80317698254222,2.38021305126818,"No","Weight","Conspecific","No island rule","Yes",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,7.08421052631579,8.21081081081081,1.35796650412143,0.964907532640588
"Higgins and Peter 2002","NSW, ACT, Vic, & SA, Australia","Kangaroo","Birds","Passeriformes","Acanthizidae","Acanthiza pusilla","Acanthiza pusilla pusilla","Acanthiza pusilla zietzi","","Male","Weight",7.4,7.6,1.52,0.55,37,5,7.4,NA,1.52,NA,37,NA,7.6,NA,0.55,NA,5,NA,137.207,-35.819,3.64394591274807,1.13036593726521,"No","Weight","Conspecific","No island rule","Yes",0.589648583984375,0.0198739791870117,15.294020652771,329.326232910156,641.150024414062,0.543502099609375,0.016977262878418,15.3680982589722,316.102264404297,616.402526855469,0.485036669921875,0.0192640289306641,15.7639455795288,325.165893554688,532.760314941406,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,NA,7.4,7.6,1.52,0.55
"Ford 1976","s Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris halmaturinus","Acanthorhynchus tenuirostris halmaturinus","","Both","Weight",10.675,10.071186440678,1.68493323309857,1.10325784766467,16,59,11.5,9.3,1.45,1.05,10,6,10.6,9.4,0.98,0.87,33,26,137.207,-35.819,3.64394591274807,1.13036593726521,"No","Weight","Conspecific","No island rule","Yes",0.589648583984375,0.0198739791870117,15.294020652771,329.326232910156,641.150024414062,0.543502099609375,0.016977262878418,15.3680982589722,316.102264404297,616.402526855469,0.485036669921875,0.0192640289306641,15.7639455795288,325.165893554688,532.760314941406,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,NA,10.675,10.071186440678,1.68493323309857,1.10325784766467
