"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Migratory_status","Migratory_status_3","Phylogeny","Data_source_type"
"Andrade et al 2015","ES1","CC1","Portugal","Corvo","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,19,1.359,1.421,224,24,0.0875091084929082,0.000260268839242309,-31.108,39.701,1.24074887801809,1.2332500095411,3.27646203395862,0.345406982421875,-1.06159160114048,17.1436729431152,2.49721585716987,3.14176323027579,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES2","CC1","Portugal","Faial","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,16.6,1.359,1.436,224,33,-0.0475271753110345,0.000253974212447392,-28.694,38.576,1.24074887801809,2.23874843928125,3.22737269957302,0.696379638671875,-1.57708231453581,17.2478771209717,2.49541940530859,3.10840264691019,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES3","CC1","Portugal","Flores","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,20.2,1.359,1.53,224,26,0.148752733733627,0.00024785922642245,-31.201,39.443,1.24074887801809,2.15173748103852,3.27829643690812,0.729296142578125,-1.79745487237937,17.1135902404785,2.5047475032275,3.21165440055318,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES4","CC1","Portugal","Graciosa","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,16.5,1.359,1.281,224,41,-0.0535694897669973,0.000174217659034844,-28.014,39.054,1.24074887801809,1.78168358450735,3.21085363257295,0.674199951171875,-1.76280568271573,17.3302097320557,2.48660354134662,3.05354706361125,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES5","CC1","Portugal","Pico","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,17.6,1.359,1.64,224,33,0.0109690313705739,0.000290324486226331,-28.33,38.479,1.24074887801809,2.64859417407893,3.21484411286133,0.7473998046875,-1.75197540698985,15.735915184021,2.51708949342903,3.17552051925611,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES6","CC1","Portugal","Santa Maria","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,15.7,1.359,1.112,224,55,-0.10326915831927,0.000118418858231574,-25.095,36.974,1.24074887801809,1.98855895687862,3.12807633604498,0.6783623046875,-1.85207348561264,16.9927959442139,2.4806362967921,2.92860067234204,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES7","CC1","Portugal","Sao Jorge","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,17.6,1.359,1.361,224,17,0.0109690313705739,0.000378964170241372,-28.03,38.641,1.24074887801809,2.38689116945243,3.20790379946557,0.70711650390625,-1.66668946530082,17.054443359375,2.48885350768059,3.11739725755789,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES8","CC1","Portugal","Sao Miguel","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,18.8,1.359,1.953,224,33,0.0769269991623713,0.000354228184068084,-25.476,37.774,1.24074887801809,2.8719755219997,3.13290008974884,0.726108837890625,-2.05766659793864,16.7002582550049,2.47298839258293,3.03726708483771,"directional migratory","partial directional migrant","","Island rule"
"Andrade et al 2015","ES9","CC1","Portugal","Terceira","Birds","Passeriformes","Sylviidae","Sylvia atricapilla","Sylvia atricapilla","Sylvia atricapilla","Omnivore",17.408,16.4,1.359,1.199,224,23,-0.0596485358433796,0.000259600670543701,-27.204,38.729,1.24074887801809,2.60250491518737,3.190891996751,0.73378232421875,-1.70020620383452,17.2844371795654,2.47214282432018,3.09245746248319,"directional migratory","partial directional migrant","","Island rule"
"Major et al. 2012","ES10","CC2","East Coast Australia","King Island","Birds","Passeriformes","Ephthianuridae","Epthianura albifrons","Epthianura albifrons","Epthianura albifrons","Invertebrate",16.5195750974694,16.9409098397451,0.332011068135414,0.259215748618424,60,17,0.0251853500598358,2.05042931847993e-05,143.983,-39.8666,1.21799887257289,3.04060234011407,1.93752290693622,0.607816455078125,-1.67055748897574,13.5845718383789,2.40037559565356,2.9906634605853,"dispersive migratory","partial dispersive migrant","","Island rule"
