Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Keast 1968,ES1,CC1,Australia,Kangaroo Island,Birds,Passeriformes,Meliphagidae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,FruiNect,27.93373563,34.2864315,0.673901372,1.36182624,8,9,0.204914572,0.000248042,137.207,-35.819,1.446129019,3.643945913,1.130365937,0.5435021,-1.745276431,15.36809826,2.499827607,2.78986441,SP1
Keast 1968,ES2,CC2,Australia,Kangaroo Island,Birds,Passeriformes,Meliphagidae,Phylidonyris pyrrhoptera,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,FruiNect,22.81279753,25.31113151,0.586162159,0.246450491,7,7,0.103922606,0.000107859,137.207,-35.819,1.358178546,3.643945913,1.130365937,0.5435021,-1.745276431,15.36809826,2.499827607,2.78986441,SP2
Keast 1968,ES3,CC3,Australia,Loyalty islands,Birds,Passeriformes,Meliphagidae,Lichmera indistincta,Lichmera indistincta,Lichmera incana,FruiNect,20.50575034,31.38599287,0.705952941,0.600026334,35,19,0.425656355,5.31E-05,167.227,-20.967,1.311875666,3.08170727,3.18041292,0.814644189,-1.999985222,23.28306007,2.345697979,3.18954963,SP3
Keast 1968,ES4,CC3,Australia,Melville,Birds,Passeriformes,Meliphagidae,Lichmera indistincta,Lichmera indistincta,Lichmera indistincta,FruiNect,20.50575034,23.73507723,0.705952941,0.76049125,35,9,0.146248654,0.000147932,130.933,-11.55,1.311875666,3.762378429,1.38918381,0.602671143,-1.717110381,27.1399765,2.199070814,3.218714032,SP3
Keast 1968,ES5,CC3,Australia,New Caledonia,Birds,Passeriformes,Meliphagidae,Lichmera indistincta,Lichmera indistincta,Lichmera indistincta,FruiNect,20.50575034,27.26646186,0.705952941,0.811090954,35,14,0.284952092,9.71E-05,165.47,-21.481,1.311875666,4.261857386,3.103804063,0.680171191,-1.757411785,22.45489502,2.344515857,3.216795882,SP3
Keast 1968,ES6,CC4,Australia,New Caledonia,Birds,Passeriformes,Meliphagidae,Myzomela sanguinolenta,Myzomela sanguinolenta,Myzomela sanguinolenta,FruiNect,14.05626949,16.84987233,0.329021943,0.410972496,30,13,0.181274557,6.40E-05,165.47,-21.481,1.147870075,4.261857386,3.103804063,0.680171191,-1.757411785,22.45489502,2.344515857,3.216795882,SP4
Keast 1968,ES7,CC3,Australia,Sumbawa and Lombok,Birds,Passeriformes,Meliphagidae,Lichmera indistincta,Lichmera indistincta,Lichmera indistincta,FruiNect,20.50575034,25.95515206,0.705952941,0.827531147,35,12,0.235664777,0.000118575,117.455,-8.738,1.311875666,4.157940056,2.973128316,0.692705908,-1.653757994,25.34008408,1.808793206,3.180560138,SP3
Keast 1968,ES8,CC3,Australia,Vanuatu (Espiritu Santo),Birds,Passeriformes,Meliphagidae,Lichmera indistincta,Lichmera indistincta,Lichmera indistincta,FruiNect,20.50575034,36.9250234,0.705952941,0.993981711,35,22,0.588184111,6.68E-05,166.925,-15.367,1.311875666,3.595452459,3.255272746,0.837141699,-1.637480234,24.89639091,1.879896862,3.497567278,SP3
Grant 1979,ES109,CC5,Northern Africa,El Hierro,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,16.42341294,20.90407066,0.184934537,0.580570294,176,86,0.241235973,9.69E-06,-17.985,27.731,1.215463413,2.429283829,2.585461858,0.40696814,-1.853908745,17.80913925,2.441857073,2.483230587,SP5
Grant 1979,ES119,CC5,Northern Africa,Fuerteventura,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,16.42341294,18.0165402,0.184934537,0.549620555,176,63,0.0925823,1.55E-05,-14.025,28.412,1.215463413,3.220040061,2.000004343,0.094562994,-2.022053896,19.98557472,2.399106138,2.094735278,SP5
