"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Allen 1915b","Venezuela","Margarita, VEN","Mammals","Rodentia","Sciuridae","Sciurus granatensis","Mesosciurus chapmani","Mesosciurus nesceus","","Unsexed","Length",201.88,217.5,8.997,0.887,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.955,10.969,1020,22,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Allen, J. A. Review of the South American Sciuridae. Bulletin of the American Museum of Natural History 34, 147-309 (1915).","No island rule","Yes"
"Anderson and Handley 2002","Panama","Isla Escudo de Veraguas","Mammals","Pilosa","Bradypodidae","Bradypus variegatus","Bradypus variegatus","Bradypus pygmaeus","","Unsexed","Weight",4845,2900,628.645,489.464,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81.558,9.097,4.3,17.6,"Weight","Anderson, R. P. & Handley, C. O. Dwarfism in insular sloths: Biogeography, selection, and evolutionary rate. Evolution 56, 1045-1058 (2002).","Island rule","Yes"
"Barbo et al. 2016","Brazil","Ilha dos Alcatrazes","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops alcatraz","","Both","SVL",875.95,440.65,101.133,38.012,47,24,744,1007.9,75.6,120.6,23,24,425.6,455.7,32.5,41.4,10,14,-45.02,-23.75,1.98,26.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015","Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule","Yes"
"Araujo and Martins 2007, Esteves 2016","Brazil","Ilha da Queimada Grande","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops insularis","","Both","SVL",803.2,691.04,169.86,70.234,10,20,NA,NA,NA,NA,NA,NA,625.75,756.33,81.45,62.05,8,12,-46.675,-24.486,0.43,34.6,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015","Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","No island rule","No"
"Barbo et al. 2016","Brazil","Ilha da Queimada Grande","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops insularis","","Both","SVL",875.95,671.6,101.133,80.863,47,349,744,1007.9,75.6,120.6,23,24,617.4,725.8,58.5,94.7,153,196,-46.675,-24.486,0.43,34.6,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015","Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule","Yes"
"Barbo et al. 2016","Brazil","Ilha da Vitória","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops otavioi","","Both","SVL",875.95,453,101.133,72.007,47,14,744,1007.9,75.6,120.6,23,24,413,493,31,97,7,7,-45.02,-23.75,1.98,26.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015","Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule","Yes"
"Barbo et al. 2016","Brazil","Ilha dos Franceses","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops sazimai","","Both","SVL",875.95,594.2,101.133,56.459,47,40,744,1007.9,75.6,120.6,23,24,569.7,618.7,66.5,38.6,23,17,-45.02,-23.75,1.98,26.3,"LOG10(Weight, g)= LOG10(SVL, mm)*2.655-5.165, Feldman et al 2015","Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule","Yes"
"Nelson 1898, Storer 1962","Mexico","Maria Madre","Birds","Accipitriformes","Accipitridae","Buteo jamaicensis","Buteo jamaicensis hadropus","Buteo borealis fumosus","","Both","Wing Length",388,392.65,11.909,NA,33,4,379,397,11.24497992,12.88968825,20,13,373.3,412,NA,NA,3,1,-106.558,21.61,200,100,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Buteo jamaicensis fumosus = Buteo borealis fumosus (https://avibase.bsc-eoc.org/species.jsp?avibaseid=DBCF62ABC4297742)","No island rule","Yes"
"Nelson 1898, Storer 1962","Mexico","Socorro","Birds","Accipitriformes","Accipitridae","Buteo jamaicensis","Buteo jamaicensis hadropus","Buteo borealis socorroensis","","Both","Wing Length",388,406.25,11.909,NA,33,3,379,397,11.24497992,12.88968825,20,13,387.5,425,NA,NA,2,1,-110.974,18.793,132,575,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Buteo jamaicensis socorroensis = Buteo borealis socorroensis (https://avibase.bsc-eoc.org/species.jsp?lang=ES&avibaseid=38366AF9F21AE852)","No island rule","Yes"
"Clegg 2002","Brisbane, Australia","Norfolk island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tenuirostris","","Unsexed","Weight",10.22,17.2,0.9,0.63,29,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.953,-29.035,34.6,745,"Weight","Clegg, S. M. et al. Microevolution in island forms: the roles of drift and directional selection in morphological divergence of a passerine bird. Evolution 56, 2090-2099 (2002).","Island rule","Yes"
"Clegg 2002","Brisbane, Australia","Lord Howe Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tephropleurus","","Unsexed","Weight",10.22,12.41,0.9,0.93,29,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.082,-31.558,14.55,570,"Weight","Clegg, S. M. et al. Microevolution in island forms: the roles of drift and directional selection in morphological divergence of a passerine bird. Evolution 56, 2090-2099 (2002).","Island rule","Yes"
