"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Archipielago","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Adler 1996, Adler 1998","Panama","4","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,365,104.326,79,42,10,436.66,365.474,104.326,86.202,23,19,365,NA,79,NA,10,NA,-79.8576,9.1718,-1.72124639904717,-1.50863830616573,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,365,104.326,79
"Adler 1996, Adler 1998","Panama","5","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,361,104.326,121,42,21,436.66,365.474,104.326,86.202,23,19,361,NA,121,NA,21,NA,-79.8334,9.1816,-1.76955107862173,-1.20760831050175,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,361,104.326,121
"Adler 1996, Adler 1998","Panama","8","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,297,104.326,101,42,57,436.66,365.474,104.326,86.202,23,19,297,NA,101,NA,57,NA,-79.8299,9.1846,-1.56863623584101,-1.50863830616573,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,297,104.326,101
"Adler 1996, Adler 1998","Panama","9","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,321,104.326,80,42,24,436.66,365.474,104.326,86.202,23,19,321,NA,80,NA,24,NA,-79.842,9.1865,-1.67778070526608,-1.20760831050175,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,321,104.326,80
"Adler 1996, Adler 1998","Panama","12","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,396,104.326,123,42,27,436.66,365.474,104.326,86.202,23,19,396,NA,123,NA,27,NA,-79.8626,9.1953,-1.74472749489669,-0.815308569182401,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,396,104.326,123
"Adler 1996, Adler 1998","Panama","14","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,351,104.326,109,42,14,436.66,365.474,104.326,86.202,23,19,351,NA,109,NA,14,NA,-79.8506,9.2051,-1.61978875828839,-1.50863830616573,"No","Weight","Conspecific","Island rule","No",0.657084716796875,0.016727815246582,26.5273342132568,60.3550338745117,2487.10009765625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.657084716796875,-1.75134478300131,26.5273342132568,1.78071349800838,3.3956932645562,NA,436.66,351,104.326,109
"Adler 1996, Adler 1998","Panama","51","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,343,104.326,110,42,53,436.66,365.474,104.326,86.202,23,19,343,NA,110,NA,53,NA,-79.8416,9.1282,-1.45593195564972,-1.50863830616573,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,343,104.326,110
"Adler 1996, Adler 1998","Panama","52","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","","Male","Weight",436.66,378,104.326,116,42,28,436.66,365.474,104.326,86.202,23,19,378,NA,116,NA,28,NA,-79.8341,9.1242,-1.60205999132796,-1.50863830616573,"No","Weight","Conspecific","Island rule","No",0.67976611328125,0.012731453704834,26.4705142974854,65.1285629272461,2434.68994140625,0.71138994140625,0.0136712585449219,26.1534442901611,66.6907730102539,2516.96606445312,0.714885791015625,0.0180576110839844,26.0134716033936,68.1846542358398,2532.59155273438,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,NA,436.66,378,104.326,116
"Hill 1960","Malay Peninsula","Adang","Mammals","Rodentia","Muridae","Maxomys surifer","Maxomys surifer","Maxomys surifer","","Unsexed","Length",189.083,200,12.229,7.149,96,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3015,6.5405,1.42160392686983,1.72510269980826,"No","Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Conspecific","No island rule","Yes",0.61410859375,0.0227981994628906,27.5040721893311,55.1882705688477,2232.89990234375,0.49245869140625,0.0352632385253906,27.3496131896973,55.3085021972656,2232.25,0.64011171875,0.0187581634521484,27.3870868682861,57.4504508972168,2209.90283203125,0.61410859375,-1.62345589978851,27.5040721893311,1.7418467848213,3.34886925471759,NA,189.083,200,12.229,7.149
"Sargis et al. 2018","Mainland SE Asia","Adang","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","","Both","Skull",48.4262962955556,46.8925000025,1.29482184554557,1.233,81,4,48.80138889,48.12622222,1.236428388,1.274769656,36,45,48.2,46.45666667,NA,1.135796343,1,3,99.3015,6.5405,1.42160392686983,1.72510269980826,"No","log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species","Conspecific","Island rule","Yes",0.61410859375,0.0227981994628906,27.5040721893311,55.1882705688477,2232.89990234375,0.49245869140625,0.0352632385253906,27.3496131896973,55.3085021972656,2232.25,0.64011171875,0.0187581634521484,27.3870868682861,57.4504508972168,2209.90283203125,0.61410859375,-1.62345589978851,27.5040721893311,1.7418467848213,3.34886925471759,NA,48.4262962955556,46.8925000025,1.29482184554557,1.233
