"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type"
"Adler 1996, Adler 1998","ES1","CC1","Panama","4","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,365,104.326,79,42,10,-0.179257506652479,0.00604364865617553,-79.8576,9.1718,2.64014341043538,-1.72124639904717,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES2","CC1","Panama","5","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,361,104.326,121,42,21,-0.19027690190209,0.00670888624183581,-79.8334,9.1816,2.64014341043538,-1.76955107862173,-1.20760831050175,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES3","CC1","Panama","8","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,297,104.326,101,42,57,-0.385422721432271,0.00338796606444526,-79.8299,9.1846,2.64014341043538,-1.56863623584101,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES4","CC1","Panama","9","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,321,104.326,80,42,24,-0.307713737104955,0.00394705905655247,-79.842,9.1865,2.64014341043538,-1.67778070526608,-1.20760831050175,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES5","CC1","Panama","12","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,396,104.326,123,42,27,-0.09774064898049,0.00493228226482502,-79.8626,9.1953,2.64014341043538,-1.74472749489669,-0.815308569182401,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES6","CC1","Panama","14","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,351,104.326,109,42,14,-0.218368636769105,0.00824737142231252,-79.8506,9.2051,2.64014341043538,-1.61978875828839,-1.50863830616573,0.657084716796875,-1.75134478300131,26.5273342132568,1.78071349800838,3.3956932645562,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES7","CC1","Panama","51","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,343,104.326,110,42,53,-0.241424413069031,0.00329962647318601,-79.8416,9.1282,2.64014341043538,-1.45593195564972,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Adler 1996, Adler 1998","ES8","CC1","Panama","52","Mammals","Rodentia","Cricetidae","Proechimys semispinosus","Proechimys semispinosus","Proechimys semispinosus","Herb","Male","Weight",436.66,378,104.326,116,42,28,-0.144260664615383,0.00472246014113634,-79.8341,9.1242,2.64014341043538,-1.60205999132796,-1.50863830616573,0.67976611328125,-1.86228348296952,26.4705142974854,1.81377149549862,3.3864436615218,"No","Conspecific","Island rule"
"Hill 1960","ES9","CC2","Malay Peninsula","Adang","Mammals","Rodentia","Muridae","Maxomys surifer","Maxomys surifer","Maxomys surifer","Omn","Unsexed","Length",209.911705872661,245.926663521122,13.5761028284763,8.79064858756252,96,4,0.15834638164032,0.000362998075012312,99.3015,6.5405,2.32203665799235,1.42160392686983,1.72510269980826,0.61410859375,-1.62345589978851,27.5040721893311,1.7418467848213,3.34886925471759,"No","Conspecific","No island rule"
"Sargis et al. 2018","ES10","CC3","Mainland SE Asia","Adang","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Both","Skull",289.234889896578,261.221747558733,7.73355970992208,6.86861256539417,81,4,-0.101869471688512,0.000181672195981342,99.3015,6.5405,2.46125067996278,1.42160392686983,1.72510269980826,0.61410859375,-1.62345589978851,27.5040721893311,1.7418467848213,3.34886925471759,"No","Conspecific","Island rule"
"Meiri et al 2006","ES11","CC4","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Male","CBL",7504.41257759865,7910.66430005193,214.598449383449,370.12940258163,4,2,0.0527205693448992,0.00129902659609084,-134.336,57.622,3.87531670266963,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"No","Conspecific","Island rule"
"Meiri et al 2006","ES12","CC5","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1341.06618902745,1531.42740095861,71.2746778043594,71.6534399026675,21,6,0.132735281243856,0.000499371990279681,-134.336,57.622,3.12745021321327,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"No","Conspecific","Island rule"
"Meiri et al 2006","ES13","CC6","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",106.045223776188,102.590607925257,8.73583436383282,7.54558662134491,46,26,-0.0331192546682947,0.000355590302560353,-134.336,57.622,2.02549111288693,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"No","Conspecific","Island rule"
"Meiri et al 2006","ES14","CC7","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Neovison vison","Mustela vison","Mustela vison","Carn","Male","CBL",911.454580360863,846.737247881645,34.8113343484868,13.459696136847,12,6,-0.0736513318127978,0.000163673372910387,-134.336,57.622,2.95973503175115,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"No","Conspecific","Island rule"
