Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Anderson and Handley 2001,ES2,CC1,Panama,Cayo Agua,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus variegatus,Herb,4845,3800,628.645,300.416,7,10,-0.242946179,0.003030055,-82.036,9.15,3.685293781,1.161368002,0.819609733,0.672026611,-1.609722306,25.94358444,1.688088722,3.463543609,SP1
Anderson and Handley 2001,ES3,CC1,Panama,Cayo Nancy,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus variegatus,Herb,4845,3600,628.645,413.673,7,5,-0.2970134,0.00504588,-82.193,9.315,3.685293781,0.832508913,0.977769318,0.667509424,-1.461467295,25.9487896,1.718769903,3.43894403,SP1
Anderson and Handley 2001,ES4,CC1,Panama,Isla Bastimentos,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus variegatus,Herb,4845,3200,628.645,141.421,7,2,-0.414796436,0.003381614,-82.148,9.302,3.685293781,1.711807229,0.79940948,0.667509424,-1.461467295,25.9487896,1.718769903,3.43894403,SP1
Anderson and Handley 2001,ES5,CC1,Panama,Isla Colón,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus variegatus,Herb,4845,3700,628.645,415.692,7,3,-0.269614426,0.006612504,-82.277,9.4,3.685293781,1.770852012,0.176380692,0.73357915,-1.611099285,25.92760086,1.718479255,3.443568053,SP1
Anderson and Handley 2001,ES6,CC1,Panama,Isla Cristobal,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus variegatus,Herb,4845,4100,628.645,525.476,7,5,-0.166960272,0.005690304,-82.232,9.347,3.685293781,1.565847819,-0.521433504,0.73357915,-1.611099285,25.92760086,1.718479255,3.443568053,SP1
Anderson and Handley 2001,ES7,CC1,Panama,Isla Escudo de Veraguas,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus pygmaeus,Herb,4845,2900,628.645,489.464,7,7,-0.513236508,0.006474617,-81.558,9.097,3.685293781,0.633468456,1.245537343,0.567829297,-1.474472041,25.96305084,1.682482093,3.457723637,SP1
Anderson and Handley 2001,ES8,CC1,Panama,Isla Popa,Mammals,Pilosa,Bradypodidae,Bradypus variegatus,Bradypus variegatus,Bradypus variegatus,Herb,4845,4400,628.645,379.671,7,6,-0.096342704,0.003646018,-82.117,9.159,3.685293781,1.72427587,0.255513713,0.752158398,-1.691895571,25.90838242,1.682189698,3.449994941,SP1
Meiri et al 2006,ES9,CC2,Baja California Sur,Magdalena,Mammals,Carnivora,Canidae,Canis latrans,Canis latrans,Canis latrans,Carn,14017.31602,15417.77296,512.1902528,548.2420934,18,3,0.095227508,0.000495659,-112.114,25.345,4.146664865,2.462397998,0.000434077,0.366647485,-1.929455267,19.60025024,2.54950672,2.046729225,SP2
Meiri et al 2006,ES10,CC3,Sonora,Tiburon,Mammals,Carnivora,Canidae,Canis latrans,Canis latrans,Canis latrans,Carn,15934.7934,15350.26484,582.2545377,545.8415654,2,2,-0.037372255,0.001299804,-112.353,28.986,4.202346437,3.082066934,0.43949059,0.180462634,-1.563715757,21.29118919,2.752799852,2.121382001,SP2
Meiri et al 2006,ES11,CC4,Ellesmere,Axel Heiberg,Mammals,Carnivora,Canidae,Canis lupus,Canis lupus,Canis lupus,Carn,35447.69245,35122.44297,1295.252424,1253.368766,13,2,-0.009217831,0.000739439,-90.766,79.433,4.549587969,4.635262522,2.662758776,0.001431988,-2.047262281,-21.06258583,3.172621101,2.1757857,SP3
Meiri et al 2006,ES15,CC5,"NW America W. of the Rockies, 55-60N",Kuiu,Mammals,Carnivora,Canidae,Canis lupus,Canis lupus,Canis lupus,Carn,39370.43181,37254.57037,1438.588628,1324.738903,6,7,-0.055240441,0.000403162,-134.0511,56.5406,4.595170178,3.286231854,1.785336955,0.651642676,-1.455411098,6.181982517,2.683412102,3.621710511,SP3
Meiri et al 2006,ES16,CC5,"NW America W. of the Rockies, 55-60N",Kupreanof,Mammals,Carnivora,Canidae,Canis lupus,Canis lupus,Canis lupus,Carn,39370.43181,37483.40624,1438.588628,1332.876101,6,6,-0.049116738,0.000433268,-133.4969,56.7928,4.595170178,3.450557009,0.954290762,0.603000244,-1.392965533,5.774039745,2.728223605,3.522612637,SP3
Meiri et al 2006,ES17,CC5,"NW America W. of the Rockies, 55-60N",Prince of Wales,Mammals,Carnivora,Canidae,Canis lupus,Canis lupus,Canis lupus,Carn,39370.43181,35818.95788,1468.080681,1043.784522,6,26,-0.09453777,0.000264404,-132.867,55.726,4.595170178,3.82445127,0.845160078,0.639335645,-1.404471621,6.140699863,2.703369685,3.52471612,SP3
Meiri et al 2006,ES21,CC5,"NW America W. of the Rockies, 55-60N",Revillagigedo,Mammals,Carnivora,Canidae,Canis lupus,Canis lupus,Canis lupus,Carn,39370.43181,37517.46935,1438.588628,1334.087354,6,6,-0.048208399,0.000433268,-131.404,55.668,4.595170178,3.480581787,0.568319085,0.508264795,-1.535746216,4.884547234,2.753813802,3.459420172,SP3
Meiri et al 2006,ES22,CC6,"NW America W. of the Rockies, 47-55N",Vancouver Island,Mammals,Carnivora,Canidae,Canis lupus,Canis lupus,Canis lupus,Carn,37982.72358,36297.13581,1565.484051,924.6395226,7,62,-0.045392579,0.000253143,-125.415,49.552,4.579586103,4.495336159,1.000043427,0.642414502,-1.53147189,6.864284515,2.71065596,3.367824653,SP3
