"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Aubret 2015","West Australia (Perth)","Carnac Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,425.750806451613,130.832982801244,122.11124775635,199,124,324.8,228,143.58,88.74,109,90,468.5,381.6,123.2,104.8,63,61,115.662,-32.121,-0.721246399047171,1.00004342727686,"Weight","","Island rule","Yes",0.449641845703125,0.0114561195373535,18.3956928253174,356.54150390625,751.030029296875,0.44008369140625,0.0107339752197266,18.3847389221191,390.091094970703,808.064086914062,0.4793423828125,0.0108289794921875,18.1516094207764,390.691223144531,861.159973144531,0.449641845703125,-1.90461723263615,18.3956928253174,2.55211009202325,2.87565730224677,NA,281.021105527638,425.750806451613,130.832982801244,122.11124775635
"Aubret 2015","West Australia (Perth)","Christmas","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,566.354385964912,130.832982801244,256.367489142731,199,57,324.8,228,143.58,88.74,109,90,645.4,440.6,274,163.5,35,22,105.649,-10.485,2.13033376849501,2.54406928518988,"Weight","","Island rule","Yes",0.711173388671875,0.0380218841552734,23.8653392791748,88.5409164428711,2028.90002441406,0.620150244140625,0.0664112060546875,24.0473594665527,87.3612747192383,1988.69995117188,0.672574853515625,0.0544763488769531,24.1792507171631,88.625846862793,1945.69995117188,0.711173388671875,-1.40869176470873,23.8653392791748,1.94714401283169,3.30726064737094,NA,281.021105527638,566.354385964912,130.832982801244,256.367489142731
"Aubret 2015","West Australia (Perth)","Hopkins Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,653.007692307692,130.832982801244,430.544012391689,199,52,324.8,228,143.58,88.74,109,90,821.7,456.2,456.4,302.4,28,24,136.059,-34.965,0.209515014542631,0.681331705969166,"Weight","","Island rule","Yes",0.516161083984375,0.00801439208984375,15.9788255691528,249.638000488281,426.600006103516,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,NA,281.021105527638,653.007692307692,130.832982801244,430.544012391689
"Aubret 2015","West Australia (Perth)","New Year Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,621.466666666667,130.832982801244,248.880418361265,199,30,324.8,228,143.58,88.74,109,90,691.7,481,257.1,164.8,20,10,143.826,-39.67,-0.00877392430750515,0.662852233264796,"Weight","","Island rule","Yes",0.446732666015625,0.0312848419189453,13.7572917938232,248.980743408203,958.400024414062,0.607816455078125,0.0203521942138672,13.5845718383789,251.405975341797,978.731262207031,0.607816455078125,0.0203521942138672,13.5845718383789,251.405975341797,978.731262207031,0.446732666015625,-1.49100133575335,13.7572917938232,2.39616575932483,2.98154681610835,NA,281.021105527638,621.466666666667,130.832982801244,248.880418361265
"Aubret 2015","Tasmania Island","New Year Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Female","Weight",623.3,481,105.4,164.799,3,10,NA,623.3,NA,105.4,NA,3,NA,481,NA,164.8,NA,10,143.826,-39.67,-0.00877392430750515,0.662852233264796,"Weight","","Island rule","Yes",0.446732666015625,0.0312848419189453,13.7572917938232,248.980743408203,958.400024414062,0.607816455078125,0.0203521942138672,13.5845718383789,251.405975341797,978.731262207031,0.607816455078125,0.0203521942138672,13.5845718383789,251.405975341797,978.731262207031,0.446732666015625,-1.49100133575335,13.7572917938232,2.39616575932483,2.98154681610835,NA,623.3,481,105.4,164.799
"Aubret 2015","West Australia (Perth)","Reevesby","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,671.02487804878,130.832982801244,240.519205523405,199,41,324.8,228,143.58,88.74,109,90,739.17,574.82,222.3,238.3,24,17,136.059,-34.965,0.53655844257153,0.672190251188253,"Weight","","Island rule","Yes",0.516161083984375,0.00801439208984375,15.9788255691528,249.638000488281,426.600006103516,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,NA,281.021105527638,671.02487804878,130.832982801244,240.519205523405
"Aubret 2015","West Australia (Perth)","Trefoil Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,430.111111111111,130.832982801244,238.895798123598,199,9,324.8,228,143.58,88.74,109,90,388.8,481.75,290.5,182.4,5,4,136.059,-34.965,0.0636710539307176,0.653309012938479,"Weight","","Island rule","Yes",0.516161083984375,0.00801439208984375,15.9788255691528,249.638000488281,426.600006103516,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,NA,281.021105527638,430.111111111111,130.832982801244,238.895798123598
"Aubret 2015","Tasmania Island","Trefoil Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Female","Weight",623.3,481.75,105.4,182.354,3,4,NA,623.3,NA,105.4,NA,3,NA,481.75,NA,182.4,NA,4,136.059,-34.965,0.0636710539307176,0.653309012938479,"Weight","","Island rule","Yes",0.516161083984375,0.00801439208984375,15.9788255691528,249.638000488281,426.600006103516,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,NA,623.3,481.75,105.4,182.354
"Aubret 2015","West Australia (Perth)","Williams Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Both","Weight",281.021105527638,800.475789473684,130.832982801244,293.006540399574,199,38,324.8,228,143.58,88.74,109,90,868.56,633.36,229.3,371.1,27,11,136.059,-34.965,0.14921911265538,0.255513712819533,"Weight","","Island rule","Yes",0.516161083984375,0.00801439208984375,15.9788255691528,249.638000488281,426.600006103516,0.399219970703125,0.0242050109863281,16.3287448883057,285.565673828125,396.287506103516,0.384418969726563,0.0277668212890625,16.6056995391846,333.998565673828,373.379364013672,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,NA,281.021105527638,800.475789473684,130.832982801244,293.006540399574
"Aubret 2015, Schwaner and Sarre 1988 ","Tasmania Island","Chappell Island","Reptiles","Squamata","Elapidae","Notechis scutatus","Notechis scutatus","Notechis scutatus","","Female","Weight",623.3,850,105.4,89.176,3,10,NA,623.3,NA,105.4,NA,3,NA,850,NA,89.2,NA,10,147.927,-40.272,0.509202522331103,1.71232133168894,"Weight","","Island rule","No",0.471141650390625,0.0275962829589844,13.8509407043457,290.712829589844,705.900024414062,0.522579345703125,0.0241784652709961,13.8638896942139,283.988983154297,711.702514648438,0.544684033203125,0.0212303894042969,13.4397554397583,306.382446289062,727.191711425781,0.471141650390625,-1.54369041425952,13.8509407043457,2.46346419825521,2.84874319691607,NA,623.3,850,105.4,89.176
