"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type"
"Barbo et al. 2016","ES1","CC1","Brazil","Ilha dos Alcatrazes","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops alcatraz","Carnivorous","Both","SVL",447.684691231459,72.7133131590103,84.9225345520557,6.58747107079224,47,24,-1.81756467802366,0.00110758099389992,-45.02,-23.75,2.65097224375272,0.296665190261531,1.419972261274,0.65232236328125,-1.40809500979303,21.7074375152588,2.39794406425953,3.37220291756232,"Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule"
"Araujo and Martins 2007, Esteves 2016","ES2","CC2","Brazil","Ilha da Queimada Grande","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops insularis","Carnivorous","Both","SVL",352.619985282385,248.57984272706,74.5717513696039,33.4573729441262,10,20,-0.349626855482969,0.00537811847712188,-46.675,-24.486,2.54730692297151,-0.366531544420413,1.53908865047503,0.5972248046875,-1.89856266674043,21.7963943481445,2.39158378021572,3.34606980402498,"Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","No island rule"
"Barbo et al. 2016","ES3","CC1","Brazil","Ilha da Queimada Grande","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops insularis","Carnivorous","Both","SVL",447.684691231459,225.106180138096,84.9225345520557,32.2133924169645,47,349,-0.687516967792019,0.000824280507205848,-46.675,-24.486,2.65097224375272,-0.366531544420413,1.53908865047503,0.5972248046875,-1.89856266674043,21.7963943481445,2.39158378021572,3.34606980402498,"Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule"
"Barbo et al. 2016","ES4","CC1","Brazil","Ilha da Vitória","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops otavioi","Carnivorous","Both","SVL",447.684691231459,77.079826130612,84.9225345520557,13.7280027870702,47,14,-1.75924758256278,0.00303131759841503,-45.02,-23.75,2.65097224375272,0.296665190261531,1.419972261274,0.65232236328125,-1.40809500979303,21.7074375152588,2.39794406425953,3.37220291756232,"Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule"
"Barbo et al. 2016","ES5","CC1","Brazil","Ilha dos Franceses","Reptiles","Squamata","Viperidae","Bothrops jararaca","Bothrops jararaca","Bothrops sazimai","Carnivorous","Both","SVL",447.684691231459,155.825186518048,84.9225345520557,16.0675315085217,47,40,-1.05535439074053,0.00103140778575521,-45.02,-23.75,2.65097224375272,0.296665190261531,1.419972261274,0.65232236328125,-1.40809500979303,21.7074375152588,2.39794406425953,3.37220291756232,"Barbo, F. E. et al. Another new and threatened species of lancehead genus Bothrops (Serpentes, Viperidae) from Ilha dos Franceses, Southeastern Brazil. Zootaxa 4097, 511-529 (2016).","Island rule"
"Bangma et al. 2017a_b","ES6","CC3","Florida","Merritt","Reptiles","Crocodilia","Alligatoridae","Alligator mississippiensis","Alligator mississippiensis","Alligator mississippiensis","Carnivorous","Both","SVL",69570.799202431,100372.27718204,16078.7012026424,14663.6788221373,30,13,0.366541117828878,0.00342221736744245,-80.6833,28.3132,4.84242699239333,2.08707120590654,0.114277296561586,0.38850673828125,-2.04401922789546,22.2922325134277,2.64351680117913,3.08035225746425,"Conspecific","No island rule"
"Hernández-Salinas et al. 2014","ES7","CC4","Jalisco, Mexico","San Pancho/Isla La Colorada","Reptiles","Squamata","Dactyloidae","Anolis nebulosus","Anolis nebulosus","Anolis nebulosus","Carnivorous","Both","SVL",1.21534157553799,2.3840254097358,0.0400749727796623,0.237403183507707,151,149,0.673765238180214,7.37532718087819e-05,-105.093,19.539,0.0846983549080153,-1.65757731917779,-0.0083309926200515,0.644506396484375,-1.47578201607839,25.3336505889893,2.31975436668605,2.9850580400223,"Conspecific","Island rule"
"Senczuk et al 2014","ES8","CC5","Mexico, Chimela Bay","San Agustin (Don Panchito)","Reptiles","Squamata","Dactyloidae","Anolis nebulosus","Anolis nebulosus","Anolis nebulosus","Carnivorous","Both","SVL",1.30349853819288,2.57715925477624,0.107608117762743,0.221349836245631,38,18,0.681635895333919,0.000589173056590468,-105.088363,19.5348,0.115110548465513,-1.48148606012211,-0.326979092871104,0.644506396484375,-1.47578201607839,25.3336505889893,2.31975436668605,2.9850580400223,"Conspecific","Island rule"
"Siliceo-Cantero et al. 2016","ES9","CC6","Mexico","San Agustin (Don Panchito)","Reptiles","Squamata","Dactyloidae","Anolis nebulosus","Anolis nebulosus","Anolis nebulosus","Carnivorous","Both","SVL",0.869170152266889,1.69312629132281,0.101149041111761,0.269953003092029,78,112,0.66679306704804,0.000400603648133281,-105.088363,19.5348,-0.0608951959828499,-1.48148606012211,-0.326979092871104,0.644506396484375,-1.47578201607839,25.3336505889893,2.31975436668605,2.9850580400223,"Conspecific","Island rule"
"Cruz-Elisalde et al. 2014, Aguilar-Moreno et al. 2010","ES10","CC7","Mexico","Isabel","Reptiles","Squamata","Teiidae","Aspidoscelis costata","Aspidoscelis costata","Aspidoscelis costata","Carnivorous","Both","SVL",25.8125282402927,8.87523136635902,3.77729927021799,1.06661859499085,158,108,-1.067595560305,0.000269264814136455,-105.884213,21.848514,1.41183054414223,0.287801729930226,1.45486009814405,0.41019375,-1.49537725564431,25.236198425293,2.41574549986821,3.13952505138704,"Conspecific","Island rule"
