Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Ota 1991,ES1,CC1,Taiwan,Ishigakijima,Reptiles,Squamata,Agamidae,Diploderma polygonatum,Japalura polygonata,Japalura polygonata,Carnivorous,6.912690382,5.946292604,0.396159166,0.312089638,149,80,-0.150590975,5.65E-05,124.197,24.414,0.839647105,2.347408084,2.338458486,0.62720918,-1.775755863,23.1909771,2.599897957,3.330411742,SP1
Ota 1991,ES2,CC1,Taiwan,Okinawajima,Reptiles,Squamata,Agamidae,Diploderma polygonatum,Japalura polygonata,Japalura polygonata,Carnivorous,6.912690382,8.178502635,0.396159166,0.598427022,149,114,0.168150174,6.90E-05,127.9278,26.4794,0.839647105,3.081700074,2.763428742,0.483222998,-1.490924616,22.89743233,2.650553076,3.320220094,SP1
"Huang 2007, Kuo et al. 2009",ES3,CC2,Taiwan,Orchid,Reptiles,Squamata,Agamidae,Diploderma swinhonis,Japalura swinhonis,Japalura swinhonis,Carnivorous,12.20743479,12.02228213,0.54789939,0.636498334,87,126,-0.015283403,4.54E-05,121.55,22.05,1.086624413,1.670245853,1.954247335,0.646029688,-1.38513637,23.76355553,2.422869008,3.434824312,SP2
Sparkman et al 2018,ES5,CC3,Baja California,Santa Cruz,Reptiles,Squamata,Anguidae,Elgaria multicarinata,Elgaria multicarinata,Elgaria multicarinata multicarinata,Carnivorous,26.4966773,14.13377895,3.489738484,0.995069983,13,47,-0.628451738,0.00143978,-119.741,33.997,1.423191417,2.46834733,1.485735619,0.381268066,-1.842280738,15.26320839,2.370446726,2.59439255,SP3
Sparkman et al 2018,ES6,CC3,Baja California,Santa Rosa,Reptiles,Squamata,Anguidae,Elgaria multicarinata,Elgaria multicarinata,Elgaria multicarinata multicarinata,Carnivorous,26.4966773,10.95555078,3.489738484,1.43916159,13,52,-0.883173092,0.001666173,-120.098,33.965,1.423191417,2.336459734,1.63949645,0.361041309,-1.56896166,14.55853176,2.329975688,2.612084181,SP3
Boback 2006,ES7,CC4,Belize,Crawl Cay,Reptiles,Squamata,Boidae,Boa constrictor,Boa constrictor,Boa constrictor,Carnivorous,1457.559263,1168.785701,455.8287644,60.35532721,21,26,-0.220797951,0.004759836,-88.216,16.599,3.163626222,-0.795880017,1.079217436,0.740034961,-1.757717231,25.23840141,2.203227429,3.38950598,SP4
Boback 2006,ES8,CC4,Belize,False Cay,Reptiles,Squamata,Boidae,Boa constrictor,Boa constrictor,Boa constrictor,Carnivorous,1457.559263,894.6277699,455.8287644,126.7658483,21,9,-0.488110846,0.006888159,-88.339,16.6,3.163626222,-0.619788758,0.176380692,0.501460303,-1.889919414,26.63372993,2.204147152,3.352304081,SP4
Boback 2006,ES9,CC4,Belize,Lagoon Caye,Reptiles,Squamata,Boidae,Boa constrictor,Boa constrictor,Boa constrictor,Carnivorous,1457.559263,580.2564069,455.8287644,146.2882714,21,12,-0.921048491,0.009953882,-88.209,16.63,3.163626222,-1.344861565,1.07191881,0.57021958,-1.682925726,26.6972084,2.16984546,3.34077118,SP4
Boback 2006,ES10,CC4,Belize,Peter Douglas Cay,Reptiles,Squamata,Boidae,Boa constrictor,Boa constrictor,Boa constrictor,Carnivorous,1457.559263,477.915909,455.8287644,85.4193593,21,4,-1.115083783,0.012643647,-88.171,16.711,3.163626222,-0.958607315,1.143046043,-0.059449994,-1.757717231,26.92416763,2.136362862,3.337718772,SP4
Boback 2006,ES11,CC4,Belize,West Snake Cay,Reptiles,Squamata,Boidae,Boa constrictor,Boa constrictor,Boa constrictor,Carnivorous,1457.559263,1090.732779,455.8287644,164.0682079,21,40,-0.289913554,0.005222929,-88.567,16.183,3.163626222,-1.271646218,0.770925615,0.740034961,-1.757717231,25.23840141,2.203227429,3.38950598,SP4
Glaw et al. 2012,ES12,CC5,Madagascar,Nosy Hara,Reptiles,Squamata,Chamaeleonidae,Brookesia confidens,Brookesia confidens,Brookesia micra,Carnivorous,0.325693318,0.215944412,0.015167091,0.005318402,6,7,-0.410935173,0.000448092,49.0126,-12.242,-0.487191151,0.431363764,0.820923588,0.457038721,-1.694838487,26.0230999,2.081685215,3.074798144,SP5
"Villeneuve 2017, Glaw et al. 2012",ES13,CC6,Madagascar,Nosy Hara,Reptiles,Squamata,Chamaeleonidae,Brookesia confidens,Brookesia confidens,Brookesia micra,Carnivorous,0.325693318,0.162821554,0.015167091,0.024717863,6,56,-0.693301355,0.000772978,49.0126,-12.242,-0.487191151,0.431363764,0.820923588,0.457038721,-1.694838487,26.0230999,2.081685215,3.074798144,SP5
Protzel et al. 2015,ES14,CC7,Madagascar,Nosy Be,Reptiles,Squamata,Chamaeleonidae,Calumma linotum,Calumma linotum,Calumma boettgeri,Carnivorous,4.031067704,3.4036224,0.267408533,0.255860764,11,27,-0.169191004,0.000609349,48.26,-13.326,0.605420092,2.505177121,1.079940597,0.712896973,-1.828679779,25.78669739,2.134027409,3.330505077,SP6
McCord and Thomson 2002,ES15,CC8,Australia,New Guinea,Reptiles,Testudines,Chelidae,Chelodina canni,Chelodina canni,Chelodina novaeguineae,Carnivorous,1069.153654,503.3870565,101.5348335,60.78565236,13,12,-0.753263267,0.001908869,141.814,-5.752,3.029040125,5.895286048,2.184694269,0.770036768,-1.438261272,22.6774826,1.759677122,3.704001758,SP7
McCord and Thomson 2002,ES16,CC8,Australia,New Guinea,Reptiles,Testudines,Chelidae,Chelodina canni,Chelodina canni,Chelodina reimanni,Carnivorous,1069.153654,565.4246122,101.5348335,97.5373696,13,12,-0.637045662,0.003173526,141.814,-5.752,3.029040125,5.895286048,2.184694269,0.770036768,-1.438261272,22.6774826,1.759677122,3.704001758,SP7
"Rhodin 1994b, Kuchling et al. 2009",ES17,CC9,East Timor,Roti,Reptiles,Testudines,Chelidae,Chelodina mccordi,Chelodina mccordi timorlestensis,Chelodina mccordi mccordi,Carnivorous,992.8173127,808.6617,187.8509766,80.79975015,9,15,-0.205166013,0.004643397,123.1587,-10.7311,2.996869342,3.079181246,1.044578955,0.560354639,-1.667383115,27.05334663,1.944527175,3.111991548,SP8
